Date,EnergyProduction,CarbonFootprint,SystemEfficiency,MaintenanceCosts,ProductionSource,CustomerFeedback,Temperature,Humidity,Demand,OutageDuration,OutageReason
2022-10-19 11:46:36,5206.15,194.94,82.31,1137.13,Wind,Neutral,25.99,28.53,804.39,16.4,Equipment Failure
2023-11-10 11:46:36,7606.99,229.31,87.43,3807.9,Wind,Negative,9.65,66.07,530.84,7.93,Unknown
2023-01-21 11:46:36,6849.65,413.94,84.73,1427.35,Wind,Negative,8.1,33.4,838.74,21.98,Weather
2022-10-01 11:46:36,3629.67,236.65,87.74,4349.44,Coal,Negative,38.21,40.85,988.76,23.9,Equipment Failure
2023-10-22 11:46:36,6909.89,297.14,90.08,1864.79,Solar,Neutral,12.07,43.43,748.72,3.52,Equipment Failure
2022-07-15 11:46:36,9785.67,152.5,83.84,1023.95,Solar,Positive,20.01,22.52,717.81,22.04,Weather
2023-08-21 11:46:36,8790.75,146.2,84.58,3556.21,Wind,Positive,22.03,30.47,729.2,7.96,Weather
2024-02-04 11:46:36,8533.76,144.65,83.56,2133.62,Wind,Negative,39.22,43.87,602.01,18.74,Unknown
2022-12-13 11:46:36,3692.86,247.73,82.49,4550.96,Hydro,Negative,38.17,37.93,993.65,4.79,Maintenance
2023-01-19 11:46:36,5050.75,420.89,91.01,2017.17,Solar,Positive,8.33,33.5,587.83,18.87,Equipment Failure
2022-07-23 11:46:36,6874.06,322.07,82.52,1875.31,Solar,Positive,18.76,57.18,623.0,1.47,Maintenance
2023-05-16 11:46:36,9830.07,324.83,94.09,1483.13,Natural Gas,Positive,36.26,38.46,871.56,5.25,Maintenance
2024-01-30 11:46:36,7101.22,188.03,80.08,2766.46,Solar,Neutral,36.5,35.07,721.95,23.84,Weather
2023-04-12 11:46:36,5677.18,392.77,85.21,2206.91,Solar,Positive,3.22,50.08,617.23,14.88,Unknown
2023-12-31 11:46:36,9102.09,481.02,84.46,1184.04,Solar,Negative,30.27,71.79,683.3,9.37,Weather
2023-03-21 11:46:36,8579.56,227.04,87.78,2701.57,Wind,Neutral,11.13,49.04,741.96,17.35,Unknown
2022-08-25 11:46:36,2148.12,254.89,94.93,3200.18,Solar,Neutral,0.73,71.16,672.13,8.56,Maintenance
2023-09-11 11:46:36,2547.78,483.6,90.57,1544.21,Coal,Negative,12.77,67.32,686.63,4.33,Weather
2023-07-13 11:46:36,8492.76,419.64,81.17,1613.99,Hydro,Positive,9.82,45.94,816.43,16.51,Equipment Failure
2023-11-02 11:46:36,3754.31,128.44,93.14,2411.11,Coal,Negative,36.35,24.75,632.7,21.49,Equipment Failure
2022-07-08 11:46:36,9560.86,246.73,83.41,3679.12,Hydro,Positive,15.99,76.42,781.59,4.34,Unknown
2023-08-16 11:46:36,3075.66,147.02,93.07,4138.2,Hydro,Positive,30.37,70.57,871.15,10.98,Weather
2023-08-17 11:46:36,1590.16,232.71,89.61,2176.44,Coal,Negative,17.84,46.71,855.42,20.09,Unknown
2022-05-30 11:46:36,7705.65,158.33,94.35,3976.78,Natural Gas,Neutral,25.05,61.12,913.54,17.65,Maintenance
2022-09-14 11:46:36,6143.88,187.12,89.62,2374.18,Coal,Negative,2.99,38.63,519.8,23.96,Equipment Failure
2022-06-07 11:46:36,1686.55,194.78,86.36,3172.28,Wind,Positive,38.96,52.9,709.04,7.67,Unknown
2023-06-07 11:46:36,6237.45,490.94,82.23,4136.05,Coal,Neutral,1.75,42.02,858.42,7.7,Equipment Failure
2023-10-23 11:46:36,5890.19,220.49,92.52,3639.62,Coal,Negative,13.36,35.77,643.05,18.22,Unknown
2022-06-26 11:46:36,3983.97,164.09,89.0,4845.68,Hydro,Neutral,31.17,52.9,994.78,18.83,Equipment Failure
2023-11-07 11:46:36,7693.1,261.25,92.31,4504.27,Solar,Negative,31.24,77.22,816.57,3.09,Equipment Failure
2022-10-04 11:46:36,1433.04,458.81,88.26,1889.23,Hydro,Negative,25.23,21.61,967.49,5.57,Equipment Failure
2023-05-27 11:46:36,8353.25,281.32,89.41,4502.3,Wind,Negative,6.08,64.85,699.32,5.21,Equipment Failure
2024-01-22 11:46:36,6298.1,218.51,91.24,2117.17,Natural Gas,Positive,22.07,44.87,758.94,14.38,Weather
2022-08-29 11:46:36,2536.09,476.14,86.04,3589.01,Hydro,Positive,15.0,74.18,714.64,2.63,Unknown
2023-06-23 11:46:36,1518.23,242.07,80.07,1495.56,Solar,Positive,20.33,48.68,930.79,20.54,Weather
2024-01-27 11:46:36,7575.1,419.49,90.58,2753.36,Solar,Positive,34.92,34.1,896.29,19.9,Unknown
2023-04-19 11:46:36,8366.14,298.09,84.4,3420.09,Wind,Neutral,25.81,31.97,660.84,20.05,Weather
2023-01-17 11:46:36,9094.19,241.23,93.34,4285.6,Hydro,Negative,38.68,51.76,828.75,16.39,Weather
2023-06-08 11:46:36,8128.13,393.98,84.15,3750.08,Wind,Positive,22.18,37.4,507.77,0.85,Equipment Failure
2022-12-07 11:46:36,2477.51,435.75,91.11,3014.19,Wind,Positive,1.37,21.61,847.46,22.42,Maintenance
2024-03-31 11:46:36,7112.92,119.65,91.97,3815.54,Hydro,Neutral,28.65,23.57,578.57,7.31,Unknown
2024-02-24 11:46:36,3337.7,265.86,94.47,2124.98,Wind,Positive,23.39,38.8,841.46,5.17,Weather
2022-11-08 11:46:36,3915.98,138.27,86.63,2772.92,Solar,Negative,12.66,25.19,573.19,5.78,Maintenance
2022-10-14 11:46:36,7946.86,202.43,80.59,3578.27,Solar,Negative,4.43,32.99,711.23,15.88,Equipment Failure
2022-07-29 11:46:36,6248.08,331.4,84.57,4200.43,Wind,Negative,33.43,30.23,547.48,15.29,Maintenance
2023-12-13 11:46:36,1932.64,389.04,83.61,2364.98,Hydro,Negative,37.93,65.13,921.65,15.35,Maintenance
2024-03-12 11:46:36,7122.87,391.38,92.95,3794.24,Solar,Neutral,7.28,52.09,961.61,21.56,Unknown
2024-04-17 11:46:36,7940.36,291.41,83.66,3230.82,Solar,Neutral,35.61,38.62,934.78,10.62,Maintenance
2022-05-25 11:46:36,2831.85,427.89,90.96,1735.34,Natural Gas,Positive,9.39,58.95,941.87,14.83,Equipment Failure
2023-05-02 11:46:36,4588.3,398.87,81.38,4722.96,Coal,Negative,15.25,40.65,545.58,6.52,Unknown
2022-09-07 11:46:36,3268.46,373.73,93.97,1439.44,Hydro,Positive,12.13,46.59,989.43,3.6,Weather
2022-07-29 11:46:36,6573.91,305.95,83.62,3080.85,Hydro,Neutral,39.17,39.26,660.03,19.86,Unknown
2022-08-25 11:46:36,1172.87,240.2,88.26,2369.31,Solar,Neutral,15.46,72.11,929.19,23.19,Maintenance
2023-07-21 11:46:36,4373.88,157.41,91.7,1789.74,Wind,Negative,33.71,29.6,783.29,9.01,Weather
2023-01-03 11:46:36,3367.76,490.61,93.17,3460.14,Solar,Neutral,33.24,69.24,892.24,21.68,Unknown
2023-08-18 11:46:36,2709.24,161.91,82.01,4234.95,Hydro,Positive,3.99,62.58,904.26,11.57,Equipment Failure
2023-11-09 11:46:36,6299.24,365.42,87.48,2013.59,Natural Gas,Neutral,25.03,70.21,734.54,14.94,Weather
2023-04-29 11:46:36,1126.44,282.42,87.31,2437.26,Wind,Neutral,1.72,42.78,645.87,3.9,Unknown
2022-07-14 11:46:36,1957.59,206.06,81.06,2462.87,Hydro,Positive,25.52,51.7,763.88,19.35,Unknown
2022-12-24 11:46:36,3859.31,442.92,83.9,2257.82,Natural Gas,Neutral,13.56,26.2,504.48,12.12,Unknown
2023-12-05 11:46:36,5331.36,394.94,84.86,4174.33,Natural Gas,Neutral,16.11,40.72,642.44,6.0,Unknown
2024-03-14 11:46:36,7562.31,376.23,94.54,3724.4,Natural Gas,Neutral,3.78,31.87,953.85,12.09,Maintenance
2024-03-04 11:46:36,9153.83,458.91,80.16,1735.17,Wind,Neutral,1.72,37.78,730.37,2.14,Unknown
2022-08-22 11:46:36,2873.92,317.66,90.53,4528.15,Hydro,Negative,27.91,60.78,888.72,15.77,Unknown
2023-01-26 11:46:36,8698.86,216.13,88.59,4970.17,Natural Gas,Neutral,21.08,67.54,933.93,5.71,Maintenance
2022-08-19 11:46:36,2556.56,378.47,89.7,1500.6,Hydro,Negative,38.57,24.33,819.68,7.07,Equipment Failure
2022-09-17 11:46:36,4048.79,334.29,90.07,3314.4,Natural Gas,Positive,26.3,68.46,929.06,19.15,Unknown
2022-07-25 11:46:36,1950.39,430.08,84.46,1529.93,Wind,Neutral,1.35,68.88,530.13,20.97,Equipment Failure
2023-11-30 11:46:36,4473.16,173.34,83.51,1083.98,Solar,Negative,35.08,65.48,508.83,14.33,Unknown
2024-03-20 11:46:36,9886.53,165.67,82.33,4057.91,Wind,Neutral,33.42,69.02,754.19,22.01,Weather
2023-04-18 11:46:36,8256.45,479.87,93.34,3260.21,Wind,Positive,19.76,36.35,506.39,14.55,Equipment Failure
2023-05-21 11:46:36,8428.85,216.98,90.38,3603.54,Hydro,Negative,11.03,46.16,626.73,22.33,Weather
2024-01-21 11:46:36,5993.96,399.18,86.55,1004.34,Hydro,Positive,22.89,59.73,799.11,2.09,Equipment Failure
2024-01-15 11:46:36,3847.52,344.34,88.94,3047.87,Solar,Negative,7.62,25.24,517.15,12.74,Maintenance
2022-06-12 11:46:36,7418.19,412.78,81.33,2113.73,Wind,Negative,0.41,78.03,630.0,13.83,Weather
2023-09-17 11:46:36,9918.04,353.49,88.06,4663.84,Solar,Neutral,35.22,23.42,994.46,7.68,Maintenance
2022-06-13 11:46:36,8051.12,422.34,94.84,2486.17,Solar,Negative,18.37,26.18,643.02,18.73,Maintenance
2024-05-07 11:46:36,6050.42,491.53,86.63,2011.69,Coal,Negative,28.11,78.46,744.28,7.05,Unknown
2024-02-03 11:46:36,2540.71,340.15,92.67,2786.17,Coal,Positive,28.04,45.19,614.16,0.27,Maintenance
2022-06-04 11:46:36,7380.9,148.11,87.65,2848.33,Natural Gas,Neutral,12.07,77.65,773.73,11.73,Maintenance
2023-10-14 11:46:36,7090.9,344.35,90.52,4710.79,Solar,Positive,12.53,77.04,534.18,0.11,Equipment Failure
2023-03-19 11:46:36,5282.2,311.3,87.4,3160.2,Natural Gas,Neutral,18.5,23.08,982.96,6.56,Weather
2023-10-20 11:46:36,1409.44,443.04,88.83,4869.25,Coal,Neutral,22.31,53.89,872.0,3.2,Weather
2023-09-22 11:46:36,8754.35,384.09,86.46,2169.15,Natural Gas,Neutral,5.62,74.19,777.3,6.98,Unknown
2023-06-30 11:46:36,4442.64,173.51,92.96,4724.63,Wind,Negative,4.34,47.31,946.76,13.81,Unknown
2023-09-20 11:46:36,3457.11,401.18,82.82,3106.97,Solar,Neutral,37.3,22.99,662.88,11.41,Unknown
2023-05-12 11:46:36,8608.28,350.87,86.06,3351.88,Coal,Neutral,32.81,51.32,996.54,14.52,Weather
2022-10-01 11:46:36,6162.08,185.74,90.38,3957.46,Natural Gas,Negative,30.2,60.37,512.17,20.73,Weather
2022-06-06 11:46:36,9419.14,200.22,91.47,4409.14,Hydro,Neutral,3.92,24.75,902.34,3.18,Maintenance
2022-10-06 11:46:36,2782.41,213.52,86.48,4247.58,Solar,Negative,5.85,62.31,641.39,5.35,Equipment Failure
2023-03-10 11:46:36,7073.43,260.08,80.03,2842.56,Hydro,Negative,3.77,45.37,624.51,15.66,Unknown
2024-04-30 11:46:36,2015.64,116.57,88.67,3137.34,Coal,Positive,2.0,58.1,808.8,10.5,Equipment Failure
2022-07-11 11:46:36,8053.31,129.23,80.24,2524.92,Solar,Negative,4.94,31.49,937.19,23.6,Unknown
2022-06-17 11:46:36,3302.23,432.85,92.83,2608.61,Hydro,Neutral,35.74,35.9,925.72,2.27,Equipment Failure
2023-09-03 11:46:36,3064.74,407.5,84.45,4164.19,Hydro,Negative,28.07,68.1,893.48,23.32,Maintenance
2023-03-30 11:46:36,3803.83,257.44,87.22,3815.17,Natural Gas,Negative,18.09,68.27,955.45,15.39,Unknown
2024-04-21 11:46:36,3553.06,131.46,90.96,1461.14,Natural Gas,Positive,24.25,66.47,543.45,1.51,Weather
2023-12-08 11:46:36,4911.39,499.31,81.35,2108.22,Wind,Neutral,6.18,65.2,527.56,18.38,Equipment Failure
2023-08-13 11:46:36,1719.22,100.22,80.39,1015.12,Hydro,Neutral,38.3,71.96,731.66,14.61,Unknown
2023-07-07 11:46:36,4507.38,247.38,87.58,1063.81,Natural Gas,Neutral,8.75,73.14,581.18,8.37,Equipment Failure
2022-07-13 11:46:36,2562.18,351.56,86.07,3440.77,Hydro,Negative,4.54,34.48,598.83,2.65,Equipment Failure
2023-04-02 11:46:36,6156.85,494.68,80.06,4863.94,Wind,Positive,8.02,50.67,878.12,5.33,Maintenance
2022-07-02 11:46:36,6709.54,177.52,86.4,4745.05,Natural Gas,Neutral,27.71,45.12,628.54,7.28,Equipment Failure
2024-01-31 11:46:36,8888.8,164.82,81.91,3536.8,Wind,Positive,9.03,57.25,576.14,5.96,Maintenance
2022-08-12 11:46:36,1259.66,275.61,81.13,3925.76,Solar,Neutral,10.79,22.15,683.89,22.64,Weather
2022-11-16 11:46:36,6841.72,125.66,85.17,3050.99,Natural Gas,Negative,8.85,27.18,815.04,5.67,Unknown
2022-12-30 11:46:36,4590.53,122.68,80.45,3861.27,Solar,Positive,27.17,49.92,761.41,5.11,Weather
2024-02-14 11:46:36,5597.61,270.78,89.56,4133.46,Coal,Neutral,5.5,73.33,831.12,8.93,Equipment Failure
2022-09-21 11:46:36,2913.93,191.71,82.18,4138.13,Coal,Neutral,18.3,26.21,724.64,18.28,Unknown
2023-06-29 11:46:36,6076.26,281.86,86.93,4884.33,Solar,Positive,35.98,67.53,679.61,14.29,Unknown
2022-08-08 11:46:36,1554.98,103.01,88.76,2556.82,Hydro,Neutral,28.43,64.93,779.32,23.8,Equipment Failure
2022-06-19 11:46:36,1448.28,151.52,85.41,1384.29,Coal,Positive,13.37,45.27,874.21,7.9,Weather
2023-04-14 11:46:36,8556.55,328.03,84.21,2081.77,Solar,Positive,12.78,78.24,987.36,16.85,Weather
2023-05-23 11:46:36,1798.2,199.33,91.68,1859.52,Solar,Neutral,11.98,44.9,862.77,21.82,Weather
2023-09-12 11:46:36,5882.57,162.06,87.99,1404.58,Coal,Neutral,28.65,31.97,681.18,17.68,Weather
2022-12-10 11:46:36,3218.79,411.19,85.88,4540.34,Solar,Neutral,17.75,40.99,536.13,4.48,Maintenance
2024-05-06 11:46:36,5483.1,316.0,91.23,3067.41,Hydro,Neutral,22.78,70.43,879.02,13.12,Equipment Failure
2023-11-10 11:46:36,3890.55,331.04,83.0,4294.0,Hydro,Positive,20.91,36.94,878.63,10.15,Maintenance
2024-05-17 11:46:36,9536.01,278.89,93.81,1203.81,Natural Gas,Positive,23.1,72.57,624.36,7.19,Weather
2023-07-07 11:46:36,1898.17,434.83,89.56,1681.07,Natural Gas,Negative,35.52,60.65,518.18,8.04,Weather
2022-06-17 11:46:36,3789.91,372.14,82.82,2681.9,Coal,Positive,20.49,31.65,699.17,3.97,Weather
2024-04-04 11:46:36,5457.39,287.09,83.03,1867.02,Natural Gas,Positive,2.43,63.15,649.53,7.05,Equipment Failure
2022-11-18 11:46:36,4052.31,105.52,93.27,2548.65,Solar,Neutral,19.17,59.71,648.6,13.77,Maintenance
2024-01-12 11:46:36,9999.7,136.35,90.02,2614.32,Hydro,Positive,34.37,37.17,541.35,3.44,Unknown
2022-09-29 11:46:36,3047.89,487.21,90.87,1860.65,Coal,Positive,28.92,57.66,983.62,11.16,Equipment Failure
2022-09-28 11:46:36,2529.42,473.53,93.86,2807.51,Coal,Negative,28.52,30.75,808.68,17.11,Weather
2023-11-18 11:46:36,2344.75,346.98,89.59,1449.86,Natural Gas,Neutral,39.03,35.28,526.23,5.36,Weather
2023-06-06 11:46:36,6430.09,288.1,86.1,3071.52,Natural Gas,Positive,1.75,27.19,704.95,10.21,Maintenance
2023-10-27 11:46:36,2508.99,143.3,89.0,3882.33,Hydro,Neutral,31.87,38.38,602.67,20.93,Equipment Failure
2024-04-04 11:46:36,6119.99,390.8,82.14,3754.58,Hydro,Positive,25.97,77.84,946.21,0.99,Equipment Failure
2023-08-19 11:46:36,5347.44,476.31,93.35,2407.94,Hydro,Neutral,1.15,74.28,574.79,2.96,Equipment Failure
2022-06-10 11:46:36,3074.9,356.93,93.9,1957.92,Solar,Neutral,19.64,27.66,996.7,3.77,Unknown
2023-02-11 11:46:36,7887.43,174.05,85.24,3147.86,Hydro,Neutral,34.04,37.15,839.4,10.73,Equipment Failure
2022-06-07 11:46:36,6330.93,475.64,81.79,3669.18,Solar,Neutral,9.91,28.37,965.42,21.26,Maintenance
2023-06-29 11:46:36,9975.38,193.19,81.37,2043.85,Coal,Negative,22.61,30.91,626.57,8.96,Maintenance
2024-04-16 11:46:36,7684.2,398.4,86.91,4983.22,Coal,Neutral,19.52,59.34,815.84,17.68,Weather
2023-07-29 11:46:36,9358.28,434.8,80.21,1015.74,Solar,Neutral,2.48,74.09,592.45,6.68,Weather
2023-02-11 11:46:36,4628.85,197.8,87.82,1855.85,Natural Gas,Neutral,36.73,47.16,657.52,7.03,Maintenance
2022-08-24 11:46:36,3799.66,467.57,84.29,1334.95,Solar,Neutral,0.18,74.71,860.95,8.07,Weather
2023-08-22 11:46:36,6513.44,361.52,86.86,1905.97,Hydro,Neutral,22.29,39.21,513.35,1.24,Unknown
2022-07-27 11:46:36,4043.87,159.91,84.89,3785.73,Solar,Negative,12.04,45.91,550.25,4.74,Maintenance
2024-04-10 11:46:36,3508.76,216.62,87.71,4766.75,Wind,Negative,14.66,47.64,665.78,4.66,Equipment Failure
2023-03-15 11:46:36,3274.88,387.89,81.96,4788.41,Wind,Negative,13.31,54.41,897.66,13.49,Maintenance
2023-09-10 11:46:36,3688.0,455.23,86.7,1991.06,Coal,Neutral,8.62,36.13,672.34,9.85,Weather
2023-11-24 11:46:36,6433.82,139.24,80.64,4966.67,Wind,Positive,32.66,32.61,748.1,11.52,Maintenance
2024-04-25 11:46:36,9555.98,359.33,82.7,3364.61,Hydro,Neutral,2.94,58.93,958.95,12.86,Maintenance
2022-06-20 11:46:36,5556.73,448.47,87.04,1955.08,Natural Gas,Negative,39.29,73.11,696.0,10.3,Weather
2024-02-10 11:46:36,4815.47,358.18,89.72,1761.27,Coal,Neutral,4.22,43.02,711.69,14.79,Weather
2022-11-09 11:46:36,8316.55,229.68,85.82,2581.09,Coal,Negative,31.5,56.01,879.12,16.87,Unknown
2023-06-18 11:46:36,5166.0,188.37,80.26,1630.21,Natural Gas,Positive,5.23,39.85,868.94,21.36,Equipment Failure
2023-02-26 11:46:36,7543.74,297.94,93.49,4515.22,Solar,Neutral,17.84,73.98,884.87,15.85,Maintenance
2022-07-23 11:46:36,6905.97,391.44,86.3,1134.53,Hydro,Positive,18.0,49.49,558.14,3.11,Equipment Failure
2023-12-15 11:46:36,6219.2,429.49,83.08,2411.1,Hydro,Neutral,8.78,63.75,870.83,11.41,Unknown
2023-02-18 11:46:36,3249.0,409.3,90.91,4042.75,Natural Gas,Negative,33.54,74.38,860.74,15.35,Weather
2023-08-26 11:46:36,5282.99,452.82,91.08,1914.17,Solar,Neutral,30.39,24.45,867.78,3.8,Weather
2023-07-05 11:46:36,7540.58,416.88,84.89,2099.35,Natural Gas,Negative,0.68,27.75,759.12,7.7,Weather
2023-12-23 11:46:36,1144.15,209.32,88.49,2378.57,Solar,Positive,3.82,66.93,938.36,3.38,Equipment Failure
2024-04-10 11:46:36,2463.92,404.0,80.09,2483.89,Wind,Positive,37.11,36.77,889.31,2.65,Weather
2022-06-23 11:46:36,2732.42,231.18,91.33,3225.33,Coal,Negative,33.85,72.48,672.67,5.88,Equipment Failure
2023-11-04 11:46:36,3694.04,347.11,86.27,4962.69,Wind,Positive,4.89,37.77,964.92,5.16,Maintenance
2022-11-19 11:46:36,1619.51,419.54,80.94,2169.48,Hydro,Negative,5.36,76.9,522.18,21.89,Unknown
2022-10-28 11:46:36,7381.09,175.83,91.48,4400.16,Wind,Neutral,17.1,58.27,600.77,16.96,Weather
2023-08-15 11:46:36,2038.6,251.77,83.29,4418.82,Coal,Positive,1.89,61.11,741.83,5.03,Equipment Failure
2022-11-05 11:46:36,5949.18,412.18,94.74,2143.1,Natural Gas,Positive,7.09,58.96,908.41,17.48,Maintenance
2022-07-28 11:46:36,2232.09,247.96,87.09,2044.87,Hydro,Positive,19.96,71.7,841.66,11.77,Equipment Failure
2023-07-11 11:46:36,9953.94,202.57,91.36,2795.45,Hydro,Neutral,6.38,55.42,753.98,16.43,Weather
2023-10-05 11:46:36,3166.6,135.26,87.61,3788.15,Natural Gas,Positive,19.28,28.38,614.4,17.55,Unknown
2024-04-28 11:46:36,6720.01,169.06,93.47,2778.49,Coal,Negative,39.78,21.99,500.26,23.89,Maintenance
2023-06-29 11:46:36,1809.68,115.58,80.03,4094.52,Natural Gas,Positive,39.98,65.33,966.84,8.3,Equipment Failure
2023-10-08 11:46:36,2172.95,163.08,92.36,4042.57,Coal,Neutral,37.02,77.14,516.63,12.36,Equipment Failure
2022-08-02 11:46:36,2342.09,445.27,83.74,3620.61,Hydro,Positive,3.87,74.88,841.32,15.35,Equipment Failure
2023-06-25 11:46:36,4209.1,386.42,84.45,2474.48,Natural Gas,Positive,30.4,69.68,561.07,9.54,Unknown
2023-03-16 11:46:36,8476.29,238.24,88.13,3581.88,Hydro,Neutral,22.19,31.35,663.39,10.02,Equipment Failure
2022-10-04 11:46:36,2102.65,321.8,83.38,3424.93,Hydro,Positive,35.68,24.65,670.94,20.7,Unknown
2022-06-21 11:46:36,1827.16,472.42,91.38,4622.85,Natural Gas,Negative,16.7,36.19,514.93,7.62,Maintenance
2022-10-01 11:46:36,4562.59,368.89,87.94,1502.32,Solar,Neutral,8.57,71.44,842.58,12.27,Unknown
2022-05-31 11:46:36,4591.26,372.88,93.74,4563.29,Wind,Neutral,19.48,26.71,523.98,21.62,Unknown
2022-09-30 11:46:36,6185.73,206.38,94.77,3369.14,Coal,Negative,4.19,54.42,858.07,18.02,Unknown
2022-09-18 11:46:36,4739.57,160.24,85.26,4176.22,Hydro,Positive,33.82,44.32,775.09,5.76,Equipment Failure
2022-05-28 11:46:36,4613.99,234.63,83.13,1001.01,Hydro,Negative,24.92,72.94,892.99,1.3,Equipment Failure
2024-01-04 11:46:36,6116.77,459.24,93.18,1103.42,Coal,Neutral,37.23,64.72,531.0,9.17,Maintenance
2023-11-29 11:46:36,1491.65,483.47,86.92,3010.49,Natural Gas,Positive,28.28,69.89,726.94,5.74,Weather
2022-09-02 11:46:36,9063.87,266.02,93.35,4136.83,Natural Gas,Positive,3.33,77.5,656.37,16.9,Unknown
2022-07-12 11:46:36,7140.23,238.71,93.2,4640.0,Natural Gas,Positive,16.99,65.73,615.32,2.43,Unknown
2023-07-15 11:46:36,5057.8,387.91,91.27,4747.6,Solar,Positive,1.67,32.25,951.16,4.91,Unknown
2024-03-21 11:46:36,2605.31,153.93,84.82,3316.13,Coal,Positive,8.98,54.09,594.98,11.65,Maintenance
2024-02-29 11:46:36,9606.21,240.97,82.44,1285.91,Hydro,Positive,38.01,54.33,661.2,4.73,Maintenance
2024-05-05 11:46:36,3066.69,244.29,93.2,3796.71,Solar,Neutral,23.88,39.2,740.03,3.68,Maintenance
2024-01-22 11:46:36,1377.15,326.49,94.63,4558.96,Solar,Neutral,24.53,33.47,824.22,19.96,Maintenance
2023-03-24 11:46:36,5334.76,217.02,82.78,1976.47,Wind,Neutral,23.72,25.89,938.35,14.51,Equipment Failure
2022-09-15 11:46:36,9790.84,334.13,84.47,2367.17,Hydro,Positive,9.4,28.97,530.17,18.03,Unknown
2024-02-23 11:46:36,9241.04,425.55,84.99,4991.25,Natural Gas,Neutral,17.88,71.61,528.2,7.61,Maintenance
2023-10-26 11:46:36,1666.7,312.83,80.47,3704.52,Wind,Negative,9.35,47.62,860.57,9.46,Maintenance
2022-07-23 11:46:36,5399.96,186.49,86.84,3151.73,Wind,Neutral,10.84,52.59,814.37,11.32,Weather
2023-03-28 11:46:36,3713.83,130.21,84.01,1768.5,Natural Gas,Negative,26.96,67.27,952.59,19.97,Maintenance
2022-12-25 11:46:36,3645.75,263.82,92.19,3388.44,Hydro,Neutral,34.56,37.49,689.6,22.44,Unknown
2022-10-02 11:46:36,2695.09,228.65,92.18,3752.74,Wind,Negative,22.8,31.05,572.7,7.23,Weather
2024-04-28 11:46:36,1937.0,416.55,85.21,1075.94,Wind,Positive,28.1,38.77,943.03,17.17,Maintenance
2022-07-01 11:46:36,4464.28,173.45,82.93,1504.11,Coal,Negative,34.84,20.67,808.44,1.98,Unknown
