Booking ID,Room Type,Daily Rate,Length of Stay (days),Total Revenue,Customer Satisfaction,Online Reviews,Check-in Date,Check-out Date,Booking Source,Customer Nationality,Average Daily Rate (ADR),RevPAR
64cde49f-8075-4530-98e4-10ca415fba4e,Family,370.06,4,1480.24,5,64,2023-05-28,2023-06-01,Corporate,Marshall Islands,370.06,0.74012
d4ed4f7f-8351-4be9-9dd2-7ffeb00cbf0b,Suite,296.51,11,3261.6099999999997,5,59,2024-05-13,2024-05-24,Direct,Gibraltar,296.51,1.6308049999999998
2b82cbfe-c7a2-4c04-a4a9-fab88049eedf,Double,469.33,9,4223.97,5,65,2023-06-06,2023-06-15,Direct,Eritrea,469.33000000000004,2.1119850000000002
ca48b117-34d4-4520-97f4-6966e451cf5b,Suite,268.97,14,3765.5800000000004,3,71,2023-11-10,2023-11-24,Travel Agent,Malta,268.97,1.8827900000000002
c36a9fb7-375c-475e-b18f-47f341b83a50,Single,310.85,1,310.85,2,38,2024-02-22,2024-02-23,Direct,Kiribati,310.85,0.155425
05bf68e4-a7a7-443b-9b4e-51df4b8ece7a,Suite,137.48,14,1924.7199999999998,4,24,2023-02-17,2023-03-03,Direct,Saint Lucia,137.48,0.9623599999999999
d10fd3ee-4546-427a-8927-de9f8d77b65d,Family,183.39,4,733.56,1,7,2023-07-28,2023-08-01,Travel Agent,Bolivia,183.39,0.36678
5bed531a-4934-4cf2-a368-0f82168e016e,Suite,221.96,9,1997.64,2,75,2023-01-30,2023-02-08,Direct,Slovakia (Slovak Republic),221.96,0.99882
889950c3-2448-41a5-aff2-5d4a28e16170,Single,145.1,4,580.4,2,61,2022-11-24,2022-11-28,Corporate,French Guiana,145.1,0.2902
4f1d8a7d-63f4-46f7-878b-28d35086d758,Deluxe,455.21,10,4552.099999999999,2,18,2023-04-11,2023-04-21,Travel Agent,El Salvador,455.2099999999999,2.2760499999999997
77485f29-594f-43c2-9088-32c749f493b4,Suite,155.99,11,1715.89,1,8,2023-12-09,2023-12-20,Direct,Kiribati,155.99,0.8579450000000001
26a65fba-ce64-457c-be24-dd9f9e801df9,Deluxe,97.85,3,293.54999999999995,3,14,2023-05-22,2023-05-25,Direct,Ghana,97.84999999999998,0.146775
3cb70e99-9612-443a-b3ac-b9ea45873391,Deluxe,131.18,11,1442.98,1,60,2023-01-11,2023-01-22,Travel Agent,Montserrat,131.18,0.72149
696e48fc-b8f1-4e55-960e-493f4c6c9ad6,Family,310.1,3,930.3000000000001,3,43,2023-06-10,2023-06-13,OTA,British Virgin Islands,310.1,0.46515
a85027c4-8ad2-4d0e-abdf-eb539ead43d4,Suite,362.16,4,1448.64,3,48,2022-10-31,2022-11-04,Direct,Iraq,362.16,0.7243200000000001
8ec6fad2-fd5d-4630-b146-694e4c8bf759,Single,194.76,1,194.76,3,81,2024-05-01,2024-05-02,OTA,Guinea,194.76,0.09738
76854ab9-0db0-48be-86d4-6dfcbe7b1cb9,Double,215.49,13,2801.37,4,78,2022-12-17,2022-12-30,Corporate,Cote d'Ivoire,215.48999999999998,1.400685
a93e3d5d-f29d-4ba4-88b0-d6616fcd065a,Suite,90.26,2,180.52,1,0,2022-07-26,2022-07-28,OTA,South Georgia and the South Sandwich Islands,90.26,0.09026
25ec973a-efed-49ff-8f16-b04aef1d28ef,Suite,101.66,9,914.9399999999999,5,35,2023-11-09,2023-11-18,Corporate,Mozambique,101.66,0.45747
70c0861b-8118-4e84-975c-b2f07e075f7e,Single,426.91,6,2561.46,3,73,2022-06-30,2022-07-06,Direct,Germany,426.91,1.28073
84441ac3-2f60-4e40-b9d3-195586b07a0c,Family,292.96,8,2343.68,1,86,2023-06-22,2023-06-30,Corporate,Jamaica,292.96,1.17184
6d033411-d3ba-4a68-ac0e-74b5bbcccde7,Single,207.59,5,1037.95,1,7,2023-06-13,2023-06-18,Corporate,Antigua and Barbuda,207.59,0.5189750000000001
0eee3315-90b1-4085-8d78-cd707410aae4,Single,263.66,7,1845.6200000000001,2,37,2023-08-20,2023-08-27,Travel Agent,Hong Kong,263.66,0.92281
be9031ba-3e4a-4eea-bf81-6b59b653318e,Double,229.62,9,2066.58,5,7,2024-01-29,2024-02-07,Direct,Nigeria,229.62,1.03329
67b951d2-c93e-409e-be34-172702bd1569,Double,403.51,6,2421.06,2,9,2023-08-13,2023-08-19,Travel Agent,Micronesia,403.51,1.2105299999999999
46b7dfc7-a805-4728-b2f1-334103a8bd68,Double,56.51,2,113.02,2,55,2023-05-16,2023-05-18,Direct,Cocos (Keeling) Islands,56.51,0.05651
40bc3976-d386-437b-9338-4448e95d365d,Double,340.39,14,4765.46,4,68,2023-01-28,2023-02-11,Direct,Kyrgyz Republic,340.39,2.38273
d6be5655-e71b-4242-b262-267afe252128,Double,430.24,8,3441.92,5,15,2023-12-15,2023-12-23,OTA,Wallis and Futuna,430.24,1.72096
2ce7a772-a5c9-4a5e-9316-cbad975630e8,Single,263.79,11,2901.69,2,16,2022-12-29,2023-01-09,Corporate,Falkland Islands (Malvinas),263.79,1.450845
c8772370-0f9b-48b8-8f20-3ead72a5da34,Deluxe,285.41,2,570.82,1,88,2023-10-10,2023-10-12,Direct,Vietnam,285.41,0.28541000000000005
f045cc21-b7dd-4119-82f9-9115711b1d0a,Single,77.74,2,155.48,1,76,2023-10-02,2023-10-04,Corporate,Japan,77.74,0.07773999999999999
f136244c-f099-4672-b67c-bc57edb0c34a,Suite,166.77,12,2001.2400000000002,1,41,2023-02-10,2023-02-22,OTA,Israel,166.77,1.00062
e0c37c09-726c-402a-ac7f-5cf8e0d9f8fc,Family,55.54,8,444.32,2,85,2023-09-21,2023-09-29,Corporate,Montserrat,55.54,0.22216
b280ab94-dfd6-421f-bf49-354847e52bbc,Suite,397.44,8,3179.52,1,95,2022-05-30,2022-06-07,OTA,Uruguay,397.44,1.58976
3cb67627-a314-4f5a-bab9-669f61d44f3b,Suite,447.18,7,3130.26,4,18,2023-06-10,2023-06-17,Travel Agent,Suriname,447.18,1.5651300000000001
4c620390-7d7a-4bac-9212-64ce861240c3,Double,284.05,2,568.1,5,22,2023-02-28,2023-03-02,Corporate,Philippines,284.05,0.28405
d2b2016e-5dbd-4959-806b-e7b8e4e74c65,Single,433.94,2,867.88,3,23,2024-05-06,2024-05-08,Travel Agent,Luxembourg,433.94,0.43394
0d70a86e-8607-45ad-a53b-8751c97e3cf5,Family,488.04,3,1464.1200000000001,1,31,2023-07-24,2023-07-27,Direct,Mexico,488.04,0.73206
d7905998-0ae0-4bf2-b7d2-42f0adfc1c8e,Family,475.29,2,950.58,2,91,2022-06-24,2022-06-26,Direct,Poland,475.29,0.47529000000000005
be38f407-5a8c-4b5e-91cc-d115f2ba4a5a,Double,280.64,8,2245.12,1,74,2024-05-06,2024-05-14,Direct,Dominica,280.64,1.12256
39594e02-ff46-4da4-a831-793c4a4a9532,Double,341.38,4,1365.52,4,78,2024-05-07,2024-05-11,Direct,Somalia,341.38,0.68276
de30b505-cd29-4ac4-a337-5baa8174fb76,Single,321.75,11,3539.25,4,80,2023-09-07,2023-09-18,Corporate,American Samoa,321.75,1.769625
f39d4fc8-8957-467a-8a4e-724a88d9c7de,Suite,108.68,8,869.44,5,72,2023-10-21,2023-10-29,Direct,Azerbaijan,108.68,0.43472000000000005
83924313-4e6f-4e32-b70e-53dfd442d9c6,Double,420.86,6,2525.16,2,57,2023-08-08,2023-08-14,Corporate,New Caledonia,420.85999999999996,1.26258
2d9e940a-341c-45a1-b1f1-106d95301f04,Family,407.54,2,815.08,5,48,2023-11-17,2023-11-19,OTA,Taiwan,407.54,0.40754
855dea0d-818b-4312-beac-32920447582a,Family,295.48,5,1477.4,5,91,2024-02-18,2024-02-23,Corporate,Syrian Arab Republic,295.48,0.7387
e47e0217-e486-4dec-908a-b3b5867fada8,Suite,98.36,9,885.24,4,87,2024-04-02,2024-04-11,OTA,Romania,98.36,0.44262
6439aea8-7ee0-4a5e-82a5-04b23a84b850,Family,274.45,10,2744.5,2,51,2023-01-09,2023-01-19,Corporate,South Georgia and the South Sandwich Islands,274.45,1.37225
bdf8cc90-2d09-45e1-a24e-00c1c762a302,Suite,481.72,2,963.44,5,11,2023-08-05,2023-08-07,Corporate,El Salvador,481.72,0.48172000000000004
21768415-3998-4acf-99ab-e886a7a4c378,Single,199.25,10,1992.5,5,11,2023-06-20,2023-06-30,OTA,Azerbaijan,199.25,0.99625
0ec25af0-84d7-4248-809d-061b7a76794d,Deluxe,381.68,11,4198.4800000000005,1,92,2023-12-16,2023-12-27,Travel Agent,Saint Lucia,381.68000000000006,2.0992400000000004
4e1ff7c1-81c3-4c25-97cf-0f67448464d7,Suite,423.96,1,423.96,5,87,2022-07-24,2022-07-25,Travel Agent,Djibouti,423.96,0.21198
1d8abdae-f1e1-4569-8750-8bda594846d3,Double,154.48,14,2162.72,5,58,2024-04-12,2024-04-26,Travel Agent,Guadeloupe,154.48,1.0813599999999999
913fface-ce90-4a5a-a575-18eba953a348,Single,326.54,3,979.6200000000001,4,64,2023-12-16,2023-12-19,Direct,Ethiopia,326.54,0.4898100000000001
cad4705a-627e-49f7-8d9a-d9355e3787fe,Deluxe,496.94,11,5466.34,3,6,2024-01-14,2024-01-25,Corporate,Romania,496.94,2.73317
0c60ca71-3550-403c-be23-3b1e29478d6a,Deluxe,395.17,3,1185.51,1,68,2022-12-30,2023-01-02,Corporate,Central African Republic,395.17,0.592755
6d194a62-8bf0-4002-b0be-ae80b17dbe24,Suite,229.0,9,2061.0,1,10,2023-08-20,2023-08-29,Corporate,Jersey,229.0,1.0305
7e4c622b-9362-494c-80fb-bf85f0ece651,Deluxe,181.97,13,2365.61,2,23,2024-03-31,2024-04-13,OTA,Bhutan,181.97,1.182805
56b6992f-6b0a-4726-a372-3b86bf2dd0b0,Double,445.68,3,1337.04,3,23,2023-02-06,2023-02-09,Travel Agent,Maldives,445.68,0.66852
cde9b2b6-f492-4722-98e2-ddd8c8ea1316,Single,326.42,7,2284.94,2,83,2022-10-29,2022-11-05,Corporate,Moldova,326.42,1.14247
299c4f35-9bde-45f0-9a3d-32c10d882c10,Suite,246.48,5,1232.3999999999999,1,48,2024-03-03,2024-03-08,Direct,Togo,246.47999999999996,0.6162
770f14b7-7c8d-4066-909f-4a339fa6bd1d,Double,150.67,1,150.67,2,31,2023-10-29,2023-10-30,Corporate,Swaziland,150.67,0.075335
64c2f622-8a0c-44de-a834-11640bb89a9e,Suite,187.94,3,563.8199999999999,3,23,2024-03-15,2024-03-18,OTA,Papua New Guinea,187.93999999999997,0.28191
7c16244a-b434-41e4-b087-914a1d598cba,Single,113.87,3,341.61,3,63,2023-05-27,2023-05-30,OTA,Andorra,113.87,0.170805
c68bc4b7-8a87-4b7e-8f0a-0e92caa40da8,Double,62.09,11,682.99,2,73,2022-12-09,2022-12-20,Direct,Qatar,62.09,0.341495
aa50e3ff-bc8e-4eb2-ad29-8c415c4ad1ea,Family,216.41,2,432.82,4,99,2023-09-18,2023-09-20,Direct,El Salvador,216.41,0.21641
8c5f69fb-41c0-4348-8c00-0a31ce5dd3e9,Double,268.21,7,1877.4699999999998,2,97,2022-09-20,2022-09-27,Travel Agent,Uruguay,268.21,0.9387349999999999
ce30ac71-5679-47a8-8e6e-7e68c202feec,Deluxe,266.41,8,2131.28,1,45,2022-06-09,2022-06-17,Direct,Bulgaria,266.41,1.0656400000000001
cb1a341a-9bf5-4f91-82c0-7489fde7a91f,Suite,431.02,2,862.04,1,95,2023-04-05,2023-04-07,Corporate,Georgia,431.02,0.43101999999999996
11310c25-3e06-4ab6-88b5-92d3b3768f1b,Double,230.72,9,2076.48,4,17,2024-01-02,2024-01-11,Travel Agent,Egypt,230.72,1.03824
de515eea-703e-47b8-83c5-1380f1ad7396,Deluxe,342.72,13,4455.360000000001,3,57,2023-02-17,2023-03-02,Travel Agent,Jamaica,342.72,2.2276800000000003
403898da-c890-442c-8e61-95093b2b572c,Family,243.22,7,1702.54,2,14,2024-03-30,2024-04-06,Corporate,Iraq,243.22,0.85127
97d81ecb-dc73-4efd-8dc8-66f750e1b655,Family,439.03,11,4829.33,4,42,2022-09-10,2022-09-21,Direct,Niue,439.03,2.414665
872ba232-afd8-4973-9d75-6d2f8f4a822e,Single,251.65,4,1006.6,1,11,2023-04-01,2023-04-05,Corporate,Colombia,251.65,0.5033
12e1637c-4c2b-4c5c-b41c-6cb270e4e6ad,Double,395.27,4,1581.08,3,74,2023-09-15,2023-09-19,Direct,Bangladesh,395.27,0.7905399999999999
d6164c68-6bcf-402b-b05f-bd24efa6b00b,Family,469.47,13,6103.110000000001,4,26,2023-12-02,2023-12-15,OTA,Mongolia,469.47,3.0515550000000005
5f21cd9f-6d4c-4a95-af2b-3f83b819f2e0,Suite,470.33,7,3292.31,3,1,2023-04-03,2023-04-10,Direct,Senegal,470.33,1.646155
afa6b2d1-eb75-4166-9bde-118cb53047dd,Double,133.32,9,1199.8799999999999,2,1,2022-12-01,2022-12-10,Direct,Tajikistan,133.32,0.5999399999999999
e1015020-d4e1-444e-907e-c61fa0b4fe42,Double,121.59,3,364.77,2,57,2024-03-21,2024-03-24,Direct,Lao People's Democratic Republic,121.58999999999999,0.182385
614c369a-d464-4d51-a331-a0ca765c7c81,Double,375.8,4,1503.2,5,32,2023-10-26,2023-10-30,OTA,Dominican Republic,375.8,0.7516
6293db31-98f6-49c3-aea2-806b0f6342c6,Suite,266.37,5,1331.85,3,91,2022-07-03,2022-07-08,Corporate,Tanzania,266.37,0.665925
c4d02521-8acc-48a2-8c29-373fdf312b97,Family,373.0,1,373.0,4,80,2024-03-03,2024-03-04,Corporate,Tuvalu,373.0,0.1865
f64ba37b-ced1-4f08-be5b-fb43cfcb2948,Double,469.2,7,3284.4,1,73,2023-09-28,2023-10-05,Travel Agent,Indonesia,469.2,1.6422
e1772b2c-4246-4b15-bdb2-14896afa95f3,Deluxe,472.12,4,1888.48,3,94,2023-07-23,2023-07-27,Direct,Madagascar,472.12,0.94424
bc3caf2f-6bfd-4f25-9f0d-b82d13237555,Single,468.5,11,5153.5,1,10,2023-09-28,2023-10-09,Corporate,Samoa,468.5,2.57675
c3181fbc-9dbd-4deb-ba75-31512a694bd6,Single,208.2,7,1457.3999999999999,3,30,2023-12-14,2023-12-21,OTA,Dominican Republic,208.2,0.7286999999999999
93d45a40-c2c1-4494-bd53-a6748551a0e9,Suite,416.8,14,5835.2,3,58,2023-11-01,2023-11-15,OTA,Finland,416.8,2.9175999999999997
fbe506fe-9e20-4842-93d7-6c5b7c6a5171,Double,473.5,7,3314.5,2,32,2023-04-17,2023-04-24,OTA,Tuvalu,473.5,1.65725
f08436ed-7287-49cf-b6d9-d360a63c94b3,Family,323.05,3,969.1500000000001,4,51,2022-09-11,2022-09-14,Corporate,Jersey,323.05,0.48457500000000003
4187120f-17ef-40f3-92de-c39d72ce2ad9,Family,126.34,9,1137.06,4,51,2024-03-27,2024-04-05,Corporate,Haiti,126.33999999999999,0.56853
069423f2-e7cb-4f5b-a980-4a3df5f2acb2,Deluxe,372.97,11,4102.67,1,21,2022-06-12,2022-06-23,OTA,Haiti,372.97,2.051335
a01ab2af-f12a-42ef-8f5d-6bd629b638ee,Double,135.78,12,1629.3600000000001,1,32,2023-03-09,2023-03-21,OTA,Burkina Faso,135.78,0.8146800000000001
54d00562-18a2-429f-b645-3274d970f794,Family,136.66,11,1503.26,1,51,2023-04-10,2023-04-21,Corporate,Netherlands Antilles,136.66,0.75163
97f46396-6519-487e-af95-8150d555bd12,Single,355.35,1,355.35,2,50,2024-03-24,2024-03-25,OTA,Angola,355.35,0.177675
c188d3b0-1581-4bc6-8119-371f3053883b,Deluxe,130.5,8,1044.0,3,70,2022-08-03,2022-08-11,OTA,United Kingdom,130.5,0.522
85b7a5ef-dce6-4258-81dd-02c07ac494cb,Double,143.96,5,719.8000000000001,2,79,2023-02-14,2023-02-19,Corporate,Kenya,143.96,0.35990000000000005
923e06f0-ec98-4f08-b852-95f0b774af74,Suite,321.48,2,642.96,1,23,2023-09-14,2023-09-16,Travel Agent,Indonesia,321.48,0.32148000000000004
bf7b1df7-def3-4dea-a155-cec9217fffd8,Deluxe,494.53,4,1978.12,5,17,2024-04-21,2024-04-25,OTA,Burkina Faso,494.53,0.9890599999999999
107e4189-533d-4503-bfed-854873357713,Deluxe,53.54,12,642.48,4,19,2024-01-04,2024-01-16,Direct,Romania,53.54,0.32124
3790566e-c071-4d38-b318-609a34da3486,Family,499.04,14,6986.56,5,35,2022-10-15,2022-10-29,Travel Agent,Netherlands Antilles,499.04,3.4932800000000004
9f040f6b-dc94-4748-9dfe-4b41ddf89922,Double,116.54,6,699.24,2,69,2022-09-28,2022-10-04,Travel Agent,Korea,116.54,0.34962
987b8055-7396-421b-8e9f-57c917c8166c,Deluxe,323.85,3,971.5500000000001,1,75,2023-09-12,2023-09-15,OTA,Guinea,323.85,0.485775
84d5f699-cc2f-433e-ac87-15b2ab02916e,Deluxe,328.31,10,3283.1,4,75,2022-09-27,2022-10-07,Direct,Andorra,328.31,1.64155
2217f45a-0a9b-4058-a427-25efe3dd0d46,Suite,70.39,2,140.78,4,94,2023-11-10,2023-11-12,Direct,United Arab Emirates,70.39,0.07039
773cb4c4-709c-4a55-a738-b227539f022c,Suite,120.61,8,964.88,3,38,2023-09-14,2023-09-22,OTA,Ethiopia,120.61,0.48244
3c19cc59-6641-4d92-8560-1f820554527f,Family,380.35,3,1141.0500000000002,1,73,2023-12-29,2024-01-01,Travel Agent,Kyrgyz Republic,380.3500000000001,0.5705250000000001
f3f1af8c-9e28-4993-952e-07e8a47cccb9,Family,444.9,8,3559.2,1,99,2023-11-06,2023-11-14,Corporate,Bosnia and Herzegovina,444.9,1.7795999999999998
27b46c88-3e31-4c59-9d96-c86c3f90d57b,Single,68.47,12,821.64,1,72,2024-02-16,2024-02-28,Direct,Venezuela,68.47,0.41082
8cfc9f5a-e72c-4c52-832d-dc9236451e2a,Double,302.51,5,1512.55,1,1,2023-02-18,2023-02-23,Travel Agent,Puerto Rico,302.51,0.756275
ea0ad2dd-dc4b-416a-8ca4-3c6f2d7868e9,Deluxe,103.54,5,517.7,5,81,2022-06-14,2022-06-19,OTA,Azerbaijan,103.54,0.25885
ab9ba75a-ff03-4203-a55a-1eb111fb4383,Single,287.92,11,3167.1200000000003,4,85,2023-01-22,2023-02-02,OTA,Bolivia,287.92,1.58356
3dece807-15ed-4cd5-831f-efd00a90cc2c,Family,93.28,3,279.84000000000003,5,54,2022-10-21,2022-10-24,Corporate,Tajikistan,93.28000000000002,0.13992000000000002
2be8a4f6-8a93-4a31-85a3-273a95bed922,Deluxe,218.11,2,436.22,5,39,2024-04-08,2024-04-10,Direct,Christmas Island,218.11,0.21811000000000003
e2436f52-9e3a-453f-ac4e-c6f7a4ba41a8,Double,200.12,12,2401.44,3,26,2022-11-25,2022-12-07,Corporate,Mexico,200.12,1.20072
a26d93d3-8c74-4888-b456-fce7feebe79b,Deluxe,101.47,6,608.8199999999999,5,50,2024-03-10,2024-03-16,Corporate,Tunisia,101.46999999999998,0.30440999999999996
b9d734f4-ee5a-497d-931b-9b76fc428532,Family,179.89,11,1978.79,3,2,2023-06-30,2023-07-11,Corporate,Panama,179.89,0.989395
394b0cc6-6d82-4986-a2c8-4b4824807ed7,Deluxe,143.31,14,2006.3400000000001,4,9,2023-05-23,2023-06-06,Corporate,North Macedonia,143.31,1.0031700000000001
d4c4c205-8a9e-4e67-9bfa-f6f5744180a6,Double,168.64,11,1855.04,2,99,2024-04-05,2024-04-16,OTA,Turks and Caicos Islands,168.64,0.92752
aa80a24a-d891-4b9f-9efd-c8c2e13ab5fc,Family,448.2,6,2689.2,2,18,2022-05-23,2022-05-29,Direct,Australia,448.2,1.3446
922dc8a8-54ab-4f11-8ff1-3ceaded5ae0e,Family,57.98,8,463.84,4,5,2022-12-25,2023-01-02,Corporate,Cote d'Ivoire,57.98,0.23192
f3d83d3a-baaa-4b55-a5e0-12a7649ea657,Suite,461.25,11,5073.75,3,87,2024-03-29,2024-04-09,OTA,Botswana,461.25,2.536875
e21f3376-fced-49da-96f4-e23f582ddf8f,Family,275.81,7,1930.67,5,87,2023-08-02,2023-08-09,Travel Agent,Belize,275.81,0.965335
887f6583-bb82-4801-920f-430f215c2675,Double,424.85,3,1274.5500000000002,1,86,2022-09-06,2022-09-09,Travel Agent,Qatar,424.8500000000001,0.637275
45c3e5a2-cfad-43f6-9c7f-20b77c385b1a,Suite,137.18,8,1097.44,4,12,2022-06-09,2022-06-17,Direct,Uruguay,137.18,0.54872
da0b05fa-0653-4e83-9a94-4b63702d4943,Deluxe,493.98,7,3457.86,5,17,2023-06-28,2023-07-05,Travel Agent,Northern Mariana Islands,493.98,1.72893
a20b8c0b-b1c0-47cb-94f3-e269173425cb,Deluxe,154.27,9,1388.43,3,28,2023-02-26,2023-03-07,Direct,Uzbekistan,154.27,0.694215
f5b39f06-fc17-49e3-8061-bd540338bde4,Family,106.9,1,106.9,2,40,2022-08-07,2022-08-08,Travel Agent,French Polynesia,106.9,0.053450000000000004
5217a0c6-3b0c-4d0a-804f-d7f14a5f53cd,Family,76.85,14,1075.8999999999999,2,37,2024-02-22,2024-03-07,Direct,Congo,76.85,0.5379499999999999
d5b085ac-fb47-4d06-b384-01559a61dc55,Suite,244.91,14,3428.74,1,68,2023-06-02,2023-06-16,Corporate,Guam,244.91,1.71437
ea273cd8-4f36-4d82-a75c-6cdd86213362,Double,411.98,7,2883.86,3,11,2022-07-08,2022-07-15,Direct,Congo,411.98,1.4419300000000002
1305948c-1b9d-410c-a7cc-318282545208,Deluxe,67.14,14,939.96,4,51,2023-03-07,2023-03-21,OTA,Qatar,67.14,0.46998
86b96605-a019-4203-b6ee-cffb9a7b58c5,Double,182.26,13,2369.38,5,43,2023-04-09,2023-04-22,Direct,Guam,182.26000000000002,1.18469
16b10b16-5e68-4a5d-bc78-728d434851c4,Deluxe,476.81,3,1430.43,1,76,2023-07-01,2023-07-04,Travel Agent,American Samoa,476.81,0.715215
57dc1d2e-66fd-446c-b877-a55afb9e1b89,Single,155.53,5,777.65,1,49,2024-04-11,2024-04-16,OTA,Comoros,155.53,0.388825
68aefd87-5109-439b-a8e6-498aa34b9874,Single,233.63,14,3270.8199999999997,5,29,2023-05-27,2023-06-10,Corporate,Japan,233.62999999999997,1.6354099999999998
1d661a5c-4800-443e-a5f7-0add6d04b6a9,Suite,269.16,9,2422.44,1,37,2022-10-13,2022-10-22,Direct,Pakistan,269.16,1.21122
ced4ccd8-63f9-41e1-8756-29ccd4c903d2,Suite,149.99,13,1949.8700000000001,4,77,2022-12-21,2023-01-03,OTA,Philippines,149.99,0.9749350000000001
514d98dd-01f2-4bfe-b64c-9812aa711c5e,Deluxe,462.48,13,6012.24,5,84,2022-09-16,2022-09-29,OTA,Vietnam,462.47999999999996,3.0061199999999997
78a960c0-33cb-4903-b774-fd4fa226bfbd,Double,486.23,12,5834.76,5,83,2022-05-22,2022-06-03,Direct,Slovakia (Slovak Republic),486.23,2.91738
c9b22e4d-fe5d-45c1-9aff-b6fe9d6133e6,Deluxe,71.91,5,359.54999999999995,4,55,2023-12-18,2023-12-23,OTA,Ireland,71.91,0.179775
a4ca2812-010c-417f-a649-f9241d7b9252,Deluxe,233.82,8,1870.56,3,43,2023-05-11,2023-05-19,Direct,Guernsey,233.82,0.93528
