Product ID,Product Name,Production Date,Production Volume,Defective Units,Production Efficiency,Inventory Turnover,Time to Market,Supplier Reliability,Inventory Level
d2f0cb5b-637f-4e3a-8f31-ee12794ba73a,Gizmo J,2023-06-18,443,27,0.94,6.89,64,0.96,94
8009dbdc-d058-4bca-9a59-667c81009f94,Apparatus H,2023-07-09,317,1,1.0,5.45,34,0.88,261
351a039a-6b6e-48a5-9eac-03371279b8ea,Gadget B,2022-01-03,731,35,0.95,3.56,31,0.82,189
e9529043-e6a1-43ce-9c4b-d86282773476,Widget A,2022-05-30,567,52,0.91,2.15,41,0.94,452
f38cd9cf-c4ec-4367-9c2b-773b66a7b6e3,Gizmo J,2021-11-08,622,58,0.91,2.54,111,0.97,328
e9136ea2-8f85-46e4-998c-92b280974816,Widget A,2023-04-20,169,14,0.92,2.42,16,0.98,297
be4b7f4d-a77b-4286-98b0-4914093e076a,Contraption I,2022-01-02,945,46,0.95,6.69,173,0.97,472
7d4a0e7b-a2d8-4262-a1bf-6dae88c5702c,Machine G,2024-04-28,342,21,0.94,6.48,70,0.96,198
25f90c3d-6b64-400f-9a75-8585d1cf80cd,Widget A,2022-01-27,408,0,1.0,7.85,79,0.92,133
d6b6c910-a04e-47d9-84a2-718825cc7109,Apparatus H,2023-06-09,725,36,0.95,6.57,29,0.92,258
9c31c756-1495-499c-8cfc-fedac8b7d75c,Contraption I,2021-07-11,956,90,0.91,2.83,115,0.87,308
886273e0-382a-4bbf-bd79-a6a8cd3440ec,Instrument F,2023-10-24,445,7,0.98,4.93,162,0.88,51
0de90600-cf64-4f4f-8f08-d1a8794d39b0,Gizmo J,2023-01-06,941,14,0.99,4.98,119,0.82,53
62b5a07b-9341-4bda-860a-dcc690e19a78,Tool D,2022-08-19,518,17,0.97,4.05,74,0.95,218
9bc0117f-e3e1-4826-94e3-c3222382f358,Widget A,2022-02-18,703,40,0.94,6.63,98,0.94,70
e875f77a-064b-44e0-80ab-ef00f1f1db14,Gadget B,2024-02-07,408,28,0.93,4.16,133,0.85,260
c4b7e2a8-9283-46fe-8dd7-d43bc77ba46d,Gadget B,2021-10-14,811,15,0.98,3.02,180,0.87,206
afc543a2-93a5-46c4-9c15-adc835912241,Gadget B,2023-04-05,482,5,0.99,4.64,137,1.0,355
bd18ea5e-bb55-422e-9267-c81ee385d7c7,Contraption I,2024-02-10,322,15,0.95,2.04,60,0.89,161
fca7362d-60cf-4fd2-b38f-e5e11cea000a,Instrument F,2022-07-29,994,51,0.95,7.1,83,0.82,184
dc80c40c-ee57-4b9b-8373-6498aaf7ab01,Tool D,2022-02-09,417,3,0.99,7.3,81,0.96,311
00cb3584-cc71-448d-b0ac-16e7279b7720,Apparatus H,2023-09-13,493,15,0.97,7.9,167,0.87,155
5ef578ba-c3b1-4983-af76-15a2550c1c76,Machine G,2023-03-12,846,14,0.98,2.23,21,0.86,454
a928cc19-8889-486c-9652-13be5f9b5a14,Contraption I,2022-04-10,832,20,0.98,5.12,42,0.89,369
6a1ce20e-55c4-4f2e-8f9d-b1dfedc7fc7d,Gizmo J,2023-06-03,413,27,0.93,3.72,19,0.95,434
328fc51a-43cd-4c33-8cbb-c67e1d133fea,Instrument F,2023-12-07,188,18,0.9,7.85,123,0.82,302
60e8fe96-d6ef-40f6-bdd8-e666c7fd2137,Tool D,2022-03-23,350,8,0.98,4.28,74,0.9,178
a2d45e9e-29bc-4e38-843c-65b0e2f32ffa,Instrument F,2021-12-29,632,39,0.94,2.14,128,0.89,337
d19e05eb-1374-4815-8b4b-86c2b3d461b1,Contraption I,2021-12-19,406,7,0.98,3.16,93,0.81,65
e90159af-6fd6-442b-8330-ec037a35c103,Tool D,2024-01-12,821,31,0.96,6.92,62,0.85,304
4e14976f-caac-4232-a2a2-7d702b184722,Component E,2024-01-13,397,5,0.99,3.28,173,0.96,218
6ed8d4ca-9a45-4aaf-8a15-b3ca7a9e1c13,Component E,2023-12-13,149,3,0.98,2.37,29,0.84,461
035a4399-ddbe-4e52-9343-254a74cca0e5,Widget A,2022-09-29,388,4,0.99,4.53,180,0.99,326
df5491d6-cba2-4243-8271-4b17d4bd3415,Apparatus H,2022-06-13,474,37,0.92,2.65,49,0.83,135
f7a38b73-12d1-43d3-9c2a-0743132cb77d,Instrument F,2022-03-25,820,45,0.95,3.59,81,0.85,349
cb8f69df-7419-4c54-9a62-26edcc7b5bdb,Apparatus H,2022-04-24,999,3,1.0,6.34,58,0.85,353
7630356c-0d6d-44e1-a5a3-05daf860eeae,Instrument F,2022-07-16,355,32,0.91,5.2,90,0.9,229
1a829198-dd69-4f16-a0c2-132bd0500874,Apparatus H,2021-08-18,788,17,0.98,6.28,112,0.84,130
a135644a-af74-48de-bc03-8530c3249166,Tool D,2023-01-20,523,5,0.99,7.24,28,0.85,452
d90faee3-6e22-48ac-8512-5c833ffaa64e,Device C,2023-04-07,538,39,0.93,4.23,159,0.9,143
595e4228-1837-46ad-ba1a-1de588887837,Device C,2021-08-28,512,34,0.93,3.21,35,0.97,110
8095d3bd-8437-4cb0-b7be-6a85dfa05a94,Machine G,2023-12-22,326,20,0.94,6.58,31,0.87,482
d694ed05-4b42-40bf-8bc2-6536691c5f57,Device C,2023-04-18,907,25,0.97,2.63,153,0.99,280
61788145-e350-4e13-b46b-bad4d7598517,Tool D,2023-03-20,952,3,1.0,2.48,146,0.96,498
36092b04-c4be-4fca-9174-eab41e0752f0,Device C,2023-08-30,919,59,0.94,7.78,117,0.81,257
7dda2aff-8de2-49eb-bc94-d240b16d9c9f,Apparatus H,2022-12-04,462,8,0.98,4.69,107,0.99,303
49c215f1-8029-4314-9f81-39330aaf19d7,Tool D,2022-12-30,199,15,0.92,3.47,61,0.93,280
48c4a104-8010-4ad8-a5d8-295fbb758883,Component E,2021-08-28,627,7,0.99,4.43,93,0.99,434
1258edd4-f691-40ad-9a5b-a963446d31e7,Contraption I,2024-01-07,864,4,1.0,5.0,23,0.94,212
546584a4-039c-4d72-96e5-fc50075c426e,Contraption I,2022-10-25,306,26,0.92,5.33,50,0.91,393
eedbec4f-3c96-4727-869b-d9aea5eb48b9,Tool D,2022-04-27,576,32,0.94,4.06,139,0.93,127
077fd896-411f-4e48-9cc1-1766b4a60bf3,Apparatus H,2023-10-12,415,11,0.97,7.98,154,0.95,228
deef51d1-f034-4611-a5de-b877391a256c,Apparatus H,2021-08-21,866,84,0.9,4.49,176,0.86,114
19c08263-de07-4461-bd40-247c5d28d9e3,Contraption I,2022-12-21,564,35,0.94,7.96,176,0.83,133
35af38f1-df6c-41eb-8f42-b6a99dcb1e16,Apparatus H,2024-01-22,856,47,0.95,2.16,114,0.91,385
64333fa4-f029-40b3-a047-c62edc5d3841,Apparatus H,2023-01-18,388,28,0.93,5.79,153,0.89,56
3f5f0004-f57e-4233-b9a0-132987ecee67,Contraption I,2021-07-20,927,87,0.91,6.26,21,0.99,106
f0b17651-e582-4fdc-927f-cccd666c6e89,Instrument F,2023-10-28,159,13,0.92,3.58,26,0.97,482
ac48e9a1-d955-4ef5-b771-53131448737b,Tool D,2021-10-12,697,51,0.93,5.42,155,0.85,80
e4a3f571-0fec-42f0-b20b-e9df8a6ca93b,Gizmo J,2022-11-29,418,26,0.94,3.22,56,0.96,398
955e11ba-b86b-48ac-beee-2405b5e562e2,Device C,2023-07-26,515,50,0.9,6.52,19,0.84,363
fe48fc49-365f-4224-b777-aa0956a6344a,Contraption I,2021-09-09,610,36,0.94,7.79,107,0.83,431
b2fd141a-a4bd-4b6b-81dc-796582f6a304,Machine G,2022-09-08,193,11,0.94,6.42,171,0.88,384
b1e78a33-1ee2-4c71-b200-d3dafc17c704,Device C,2023-06-06,454,12,0.97,3.67,80,0.93,432
30d6ee40-f4e0-46a8-b664-be90052f3c86,Device C,2022-11-18,139,12,0.91,7.32,41,0.96,242
c51c44b8-642f-405f-9cd3-15f3b36b0ef7,Instrument F,2023-02-28,688,31,0.95,3.73,90,0.9,295
a51d8118-d55b-4364-8883-1fbfa2bf63f7,Instrument F,2023-09-08,613,35,0.94,4.02,132,0.85,91
1d7c6d15-a226-4558-90c7-e4bb29ee488e,Machine G,2021-08-09,113,2,0.98,7.64,160,0.86,438
d336fe61-6040-4481-a0f4-0c5d9744ac5a,Instrument F,2021-05-27,362,16,0.96,6.49,161,0.84,192
12b0885d-f5c0-4b09-a884-e6d5ddd5a144,Tool D,2024-02-12,624,42,0.93,6.73,73,0.95,445
802958d8-f30f-4d8c-b23a-e59ec6c67385,Machine G,2024-05-07,394,2,0.99,7.5,54,0.93,224
a8bdf8eb-c436-414d-83b8-b386e70d0121,Gadget B,2022-12-31,309,22,0.93,7.56,145,0.96,285
ae046ca8-0f81-4586-ae56-79b1e93364ff,Instrument F,2022-02-12,837,31,0.96,3.56,29,0.82,156
0f65fd7f-97b2-460e-87f3-ea4bdff1880b,Component E,2021-11-29,746,67,0.91,7.98,133,0.83,285
98747a01-0e1e-4a74-9167-3da95f68562c,Tool D,2024-01-01,591,50,0.92,3.43,166,0.88,150
158a67b4-8e75-480c-8ad9-592ef37a56b8,Tool D,2024-01-16,505,41,0.92,5.44,70,0.92,139
56299963-2f84-4f7a-b466-dcd423091c1f,Contraption I,2022-12-10,339,26,0.92,3.08,162,0.84,288
65687f31-a330-42a4-b5b2-5c8acf0c4caf,Gadget B,2022-02-28,576,2,1.0,3.28,19,0.91,278
3bfa420c-abb9-4591-b767-bce7e8e4816f,Gizmo J,2022-02-12,986,13,0.99,6.01,43,0.81,192
89fc27a7-708c-4f95-bfcd-268cbc9c12d6,Instrument F,2021-05-20,100,2,0.98,2.26,72,0.85,122
dc952935-0126-45b0-af4f-b1192d7190cc,Tool D,2024-05-17,431,12,0.97,6.43,29,0.96,272
5c6376b0-2931-4e9e-9184-4e4b66bdca21,Contraption I,2022-03-31,424,21,0.95,5.74,149,0.84,271
39d17279-0c37-4fab-acd0-c5d4b91e8062,Instrument F,2022-03-10,109,3,0.97,5.17,93,0.98,417
169c9974-056f-46fc-a012-596339ccf5ae,Instrument F,2022-05-05,396,1,1.0,6.48,96,0.95,106
3ecf5d85-064b-4bb9-85e0-c3f50c82de56,Widget A,2022-05-21,585,40,0.93,7.86,73,0.84,430
01c11bc5-e9bc-4211-8763-51c0aa36d56e,Instrument F,2024-02-29,300,11,0.96,3.31,141,0.85,439
da505280-67a2-4898-a2e4-7c531954b1c7,Widget A,2023-12-08,377,5,0.99,2.78,57,0.94,115
d9b7c416-6dba-45ad-9797-61aa1710bf8b,Instrument F,2023-12-01,115,2,0.98,4.87,56,0.99,96
4ae9ec25-5701-4031-8ca0-8edc8e3e6b43,Widget A,2021-08-04,152,6,0.96,4.26,56,0.85,426
fdb7aaca-6dc1-4719-906b-f724be92c6cc,Device C,2023-12-05,614,30,0.95,6.89,76,0.99,359
81cfdb98-83f7-4442-ab3d-e75c66bf0286,Component E,2021-12-22,782,46,0.94,5.34,170,0.99,361
df837962-964f-41c5-be3e-9c25b4b27939,Tool D,2021-09-18,778,25,0.97,7.59,68,0.99,470
4d36478f-5acc-4c01-80de-681575dabd61,Component E,2021-05-22,805,42,0.95,3.37,113,0.92,408
4a07a6bc-4d28-4be5-a55b-13c6df30efa1,Instrument F,2023-12-05,454,42,0.91,2.76,163,0.82,332
3ffd26fb-c158-408a-ba46-0200fe0e0d2e,Instrument F,2022-07-10,220,17,0.92,6.48,137,0.98,157
54624828-8a17-40af-b965-342357b54d86,Contraption I,2023-09-17,508,14,0.97,3.93,40,0.9,404
9c242ca8-10bd-4a5d-9b51-afdd473d356a,Gadget B,2023-02-13,549,39,0.93,6.96,13,0.9,141
5b43afd6-31cd-4f99-83de-2fa1222b7073,Component E,2022-05-07,632,26,0.96,5.45,72,0.92,59
6521ecde-e3cb-4f25-95b6-eef2630b204e,Machine G,2023-08-25,493,1,1.0,3.03,13,0.97,372
089923d6-3f04-4ce6-8600-db45d71f2f57,Device C,2022-10-08,489,26,0.95,3.69,105,0.92,450
71a926aa-9270-4eef-90b4-4b5cefe6fd44,Device C,2022-03-03,992,68,0.93,2.4,139,0.99,142
00675221-394d-48c6-b335-e1d90503331e,Contraption I,2023-01-12,561,54,0.9,6.13,173,0.86,149
53619337-f7ce-46a3-96f8-863404ddec36,Instrument F,2024-02-11,516,39,0.92,2.5,178,0.95,483
512c848d-2cfb-49d9-a7a2-1c2288295ad4,Tool D,2022-02-10,827,21,0.97,2.01,20,0.9,154
2a564efa-c81d-4257-938c-942d8aa7ea6b,Apparatus H,2023-05-19,290,27,0.91,2.9,81,0.82,234
d549a111-4882-446a-a6a2-5e9c66d48ef4,Machine G,2023-12-18,934,45,0.95,6.11,123,0.9,408
b54d9ae7-4b95-4434-ae1a-4486dc3e0c99,Contraption I,2022-03-15,446,40,0.91,6.59,151,0.89,244
ad097d79-b220-4793-b90d-54c3ed653604,Component E,2024-02-19,620,34,0.95,7.82,128,0.97,448
f7f22098-0481-40ee-90aa-b7ef35302bb3,Gadget B,2021-09-13,250,8,0.97,6.72,169,0.96,313
ece9d0a9-33a6-419d-baf2-2bb96468feee,Apparatus H,2023-03-26,325,13,0.96,5.27,134,0.98,213
912ce297-49fe-4f00-b48a-a863033da361,Gizmo J,2022-08-03,720,30,0.96,4.22,19,0.99,64
4c666c76-f8a0-4ba3-82fd-d4e37a9c0408,Tool D,2022-10-21,233,13,0.94,3.81,16,0.87,410
8667b3e9-74ff-4ee2-b285-f82b47f55e1c,Gizmo J,2021-06-16,488,32,0.93,5.44,107,0.99,364
20574ba8-bc63-40b3-8251-96aaf8ce8f72,Component E,2022-06-18,443,28,0.94,6.03,40,0.94,359
1b57063d-68af-488c-97ce-8779e3ebe416,Apparatus H,2021-12-27,974,97,0.9,7.15,65,0.95,309
aa84e154-bdde-4d6d-afda-58386eb5d424,Gadget B,2022-04-14,336,1,1.0,3.03,157,0.81,454
dd9b29a3-d09e-4071-b470-beef14fd286c,Device C,2023-09-30,750,59,0.92,2.14,52,0.89,294
361c4351-15d7-49b4-bfad-907b73157ad2,Gizmo J,2022-02-02,926,17,0.98,7.52,39,0.83,262
78fed7aa-10ca-41bd-afa4-88bc71981f53,Gizmo J,2022-09-26,977,43,0.96,3.75,70,0.92,442
334ac2bf-ee8b-4678-992b-f3cb15cfe950,Component E,2022-03-06,794,57,0.93,7.71,178,0.83,355
0759a2cb-94cb-452c-951b-df80d924871f,Tool D,2022-11-22,827,78,0.91,7.61,96,0.86,431
ccb09c05-a9a0-403f-bf87-00487d5e52cb,Contraption I,2022-12-08,727,32,0.96,6.15,116,0.9,472
1f8e64c7-4ef0-4794-a929-537ee3a242b4,Widget A,2022-12-29,513,20,0.96,4.17,180,0.93,379
223715d6-3d7e-462c-8dac-0e07f5c2b870,Gadget B,2021-10-31,259,20,0.92,4.29,150,0.96,71
8488bc22-e5f4-4e48-ba22-0c0350517ed1,Contraption I,2021-08-19,692,2,1.0,4.12,128,0.96,445
95b77e24-cd6d-48b7-8391-12503b766333,Apparatus H,2024-02-26,681,19,0.97,4.78,85,0.83,87
71a86faa-25b9-47ac-b00d-44c8b4e33ad7,Gadget B,2024-04-06,946,39,0.96,3.24,157,0.97,61
af5bbdac-2805-4b92-b093-e17a78af5257,Tool D,2023-06-29,212,12,0.94,7.8,180,0.98,212
f5bb25e4-82df-4d30-8508-fc1a88df0e11,Device C,2023-02-14,638,29,0.95,7.48,167,0.99,419
cce63102-ef4d-448a-9927-d03c02cb562d,Tool D,2024-02-25,258,23,0.91,5.46,28,0.97,121
e361b9ea-da0b-4158-9d6d-99de03908358,Gizmo J,2023-07-10,272,19,0.93,5.79,155,0.88,233
b4f04af5-fc9a-48d3-b5e3-0f1cff95b6ab,Device C,2024-02-08,437,34,0.92,4.18,89,0.96,372
0958312b-366a-4597-8471-b0b9f550cf47,Instrument F,2023-07-16,636,21,0.97,5.33,136,0.85,380
419470a6-cf3d-4fd3-8543-e9a76b9b9222,Instrument F,2023-02-03,309,0,1.0,6.49,140,0.93,163
69a4ffea-96ec-4a9b-aeb2-66dda7a1098d,Apparatus H,2024-05-15,643,14,0.98,3.05,105,0.96,250
7c7d71a4-db78-4a79-a7fa-207b010b0186,Contraption I,2022-10-25,633,42,0.93,7.92,179,0.98,293
f51a51a5-6c60-455f-a083-bd40ad45a2fd,Device C,2021-09-15,700,9,0.99,7.55,104,0.83,400
93482601-52ea-40f0-9eb7-2b53c694c159,Component E,2023-05-28,344,17,0.95,4.1,116,0.84,472
1862e379-c6f1-419a-8cb8-7b2a5e444e0d,Instrument F,2024-05-09,971,17,0.98,4.04,41,0.84,67
f5cbafa9-429b-46b1-8fd6-922ddf66c32b,Component E,2022-12-26,646,24,0.96,6.5,24,0.87,472
c82a095f-1567-4d52-9836-ae42e0f22766,Apparatus H,2024-02-16,764,19,0.98,3.43,68,0.99,115
ab3f96dd-b816-4960-b995-a47b977fca3e,Gadget B,2023-04-30,139,12,0.91,2.58,45,0.93,232
f002231e-6ea7-4ff4-8828-5e568e73b907,Gizmo J,2022-08-22,612,41,0.93,6.97,67,0.94,296
3331f4f5-4cfb-4bb2-a439-e02e8a924900,Component E,2022-05-12,297,16,0.95,5.88,100,0.88,135
1415c65f-eff5-4f21-9094-c5bacce6b7e2,Component E,2022-07-07,488,20,0.96,4.54,119,0.93,295
783e3bb7-6ebc-48f9-aea7-0f2967c6ae5c,Apparatus H,2022-11-09,779,66,0.92,4.02,162,0.89,454
4ae301cd-3ce6-4f49-87b2-a62232710c39,Gizmo J,2022-03-23,496,34,0.93,7.91,149,0.84,205
436ef055-6f25-4096-b246-777e1e954ae6,Component E,2022-12-15,882,82,0.91,5.91,38,0.99,144
22f42cb4-23be-4b4e-b9fd-371076d230b9,Component E,2022-07-15,848,43,0.95,3.6,94,0.88,399
efa1e19d-1c41-4b05-ba81-7f53c11bb169,Gizmo J,2022-07-04,948,5,0.99,2.88,31,0.89,393
3b292a8c-0f89-430a-b382-ca441292e4fb,Gadget B,2021-10-23,923,12,0.99,2.4,167,0.91,61
e6851b70-a980-421b-8d6a-4cd3a535e23b,Component E,2024-04-17,591,28,0.95,6.9,125,0.98,151
81dd4d67-a3a8-41ad-9db5-68aff72ed51f,Device C,2024-01-04,623,47,0.92,2.33,72,0.98,295
670a3258-57a6-474c-a3c8-f6b8f5fe0b53,Widget A,2024-01-09,329,12,0.96,3.33,71,0.96,433
9ec73ba1-0143-4bb5-8ccb-2170cd452489,Apparatus H,2022-01-11,435,24,0.94,3.34,32,0.81,440
5d108960-e25f-4bf8-90c6-6ac3199ef504,Component E,2023-12-29,658,24,0.96,7.34,74,0.98,342
9a71cacb-d4ba-42ed-bdad-2337c1d771df,Apparatus H,2021-06-01,222,9,0.96,5.37,29,0.94,194
d910c720-d7ea-4755-a8f4-97e940f8e7ba,Contraption I,2022-10-16,630,2,1.0,2.79,16,0.99,101
3399a61b-825d-40c1-a6a0-decb1ac919a1,Instrument F,2022-06-09,683,47,0.93,2.96,139,0.82,153
e40713b3-86a8-43c7-b342-867a756b3d68,Apparatus H,2023-11-21,907,4,1.0,5.86,89,0.89,349
16225593-94d3-4e64-b027-9f8921a454b2,Contraption I,2023-08-15,463,34,0.93,7.71,109,0.94,462
794d3789-28a1-48fd-9059-92cd2a4eec75,Tool D,2023-12-13,332,14,0.96,7.22,132,0.99,387
1859b1ce-ab06-4664-a399-1f00827be17f,Apparatus H,2022-09-29,486,41,0.92,3.98,153,0.81,452
0d57f9d7-7870-497c-a159-2ba43775a87d,Gadget B,2023-10-05,161,6,0.96,3.5,100,0.9,111
26800fe2-01ad-4431-a342-f669708c0666,Machine G,2021-10-09,975,12,0.99,6.55,104,0.98,118
8b089e87-6da1-405b-9ff3-ac1e4ec46d6d,Machine G,2021-05-31,334,1,1.0,6.16,25,0.97,366
0c97d11b-f585-425f-9a55-84b4ca971012,Apparatus H,2023-11-19,725,2,1.0,5.36,121,0.82,222
59cd12a4-2ab9-488e-bd5e-a5b251fec50c,Apparatus H,2023-04-26,838,62,0.93,7.0,65,0.87,430
98a7a6e8-0f49-47c9-b5ca-e67b1e019269,Machine G,2022-03-25,352,4,0.99,3.22,150,0.82,57
c389907f-e762-4243-932d-a813beac21ca,Contraption I,2022-01-08,634,42,0.93,5.95,96,0.86,304
c2bc92be-7849-42e1-80ee-727f754399aa,Gizmo J,2024-02-17,201,5,0.98,5.98,126,0.85,113
1353980d-bb91-4436-a9d9-bba15dfedfa9,Contraption I,2023-10-09,389,6,0.98,7.83,177,0.83,363
2526dac8-ab4e-49a4-ab42-2c65175f2177,Machine G,2023-05-24,117,7,0.94,7.52,90,0.88,102
023b0dc3-b6a0-46cd-b7d2-acbd9deeb5e7,Tool D,2021-08-03,841,1,1.0,2.14,19,0.84,445
b7feb41b-ddac-4f31-9f03-19bc444d7100,Device C,2023-05-19,816,38,0.95,7.24,150,0.83,206
e42178f5-9cb1-4e72-a982-d9169406cf1c,Device C,2022-10-06,323,2,0.99,6.44,136,0.89,103
cb020d75-a43b-47f5-bdfe-be6b269caa4d,Gizmo J,2022-08-18,437,7,0.98,6.71,108,0.9,306
b5c70937-abc1-4eb6-ba78-bc41f276d23d,Tool D,2022-06-28,933,38,0.96,6.96,104,0.89,439
6389b8c7-f11e-4064-ac03-d420ab7cdac0,Apparatus H,2023-08-07,765,68,0.91,6.01,105,0.93,423
990fd48c-61e9-49fe-ba48-bb54c15f9fbf,Machine G,2022-12-12,391,24,0.94,5.96,90,0.83,224
0223df9a-24bc-4d39-a844-4ec42046e861,Widget A,2024-02-08,621,40,0.94,4.1,89,0.85,393
d4b0e0a6-04ce-41e6-b2b7-b0b104cba511,Instrument F,2021-08-01,323,7,0.98,6.69,123,0.83,330
05c419f4-b8ca-4f2d-8c9b-4b2c38432c2c,Instrument F,2022-07-27,880,38,0.96,5.51,160,0.96,100
cd5e0889-6c8a-4b37-909d-8047de6e68cf,Component E,2023-06-27,632,53,0.92,2.57,97,0.95,222
528eb6c2-05b2-4b99-9012-7eba9705fbde,Machine G,2021-09-10,309,3,0.99,2.57,174,0.98,117
fe6c36f6-224a-482f-a254-3a349c5440a3,Contraption I,2021-12-09,451,37,0.92,3.11,11,0.96,203
53f56e52-4f23-4e4f-882f-e15e13455901,Apparatus H,2021-07-31,366,27,0.93,5.7,74,0.92,313
1d337020-3e32-4400-905e-20520c81c18b,Gizmo J,2022-10-09,292,26,0.91,3.99,180,0.87,312
b94a105c-1e9c-4009-b7f2-9bd779bee046,Gizmo J,2024-02-27,707,21,0.97,3.69,111,0.98,286
e1c751a7-7f8a-4f5e-8253-580cb53b69ee,Contraption I,2021-06-06,105,1,0.99,7.56,172,0.82,419
962fa0cc-e389-47ac-ae1c-55e8105111ce,Contraption I,2023-07-25,434,43,0.9,5.27,126,0.89,81
ab7e6ec0-036b-408e-94b4-ce24bb1e7ecc,Instrument F,2021-07-04,562,44,0.92,4.36,11,0.95,172
146f8a87-9457-47de-b5ba-569468d58969,Apparatus H,2023-06-30,376,6,0.98,7.81,65,1.0,121
dd47deba-5fff-4c80-86e7-f2d894ab144e,Gadget B,2023-11-04,532,40,0.92,4.65,166,0.85,236
90b09021-9799-40f6-a630-848799872ece,Tool D,2022-12-06,308,19,0.94,5.91,129,0.88,396
4c2defb3-a67f-48ae-8179-e0eab15dd639,Gadget B,2022-10-20,879,87,0.9,2.47,145,0.91,378
c5aa90c7-51a9-414e-af8f-f0ed249414c5,Gadget B,2023-09-11,550,20,0.96,6.58,82,0.94,400
52e59dd0-5af3-456c-8454-77c99931ed36,Contraption I,2023-04-14,239,22,0.91,2.08,108,0.84,183
db40b122-007f-485d-8c46-5483a695e9d8,Tool D,2021-08-14,761,24,0.97,2.59,179,0.98,455
c08a5837-0857-400f-b3e1-374fb7ccdbc8,Machine G,2023-05-26,221,16,0.93,3.1,101,0.9,168
514179e9-08d3-4d87-82b0-7b5b5599bb72,Gadget B,2023-07-10,672,41,0.94,5.21,172,0.8,459
7181ae3a-fdc7-43e6-b6d2-68e136f5dbd0,Device C,2022-05-19,772,42,0.95,7.97,86,0.82,81
4331038f-86e0-42c9-8ded-3c22e4966b45,Gizmo J,2023-12-11,132,10,0.92,3.62,135,0.8,371
fa9ede9a-95b4-42c2-bce1-272688468d8b,Machine G,2024-05-17,686,23,0.97,5.94,163,0.96,134
3ddf9aaf-e938-4ee1-aa6f-7f0036e4f4ec,Component E,2022-03-08,263,12,0.95,6.13,168,0.97,432
