Property ID,Property Type,Rent,Occupancy Rate,Monthly Revenue,Rental Length (months),Maintenance Costs,Maintenance Issues Logged,Customer Satisfaction,Month,Season,Date,Maintenance Issue Type,Occupancy Indicator
8b3c1ee2-32ce-4abb-a992-edb238c7151e,House,2250.23,0.7412301727484004,1667.938371623633,12,313.67,2,4,3,March,2023-02-09,HVAC,Vacant
6fd56c14-4035-410e-a600-52eb3efbb2c1,Apartment,3256.11,0.9875983833354451,3215.7289719623764,1,223.9,5,2,11,November,2022-02-28,Electrical,Occupied
2435bd53-b17d-43e7-b584-73be6b68620e,Apartment,1899.42,0.9594567994937687,1822.4114340944543,6,454.16,7,3,12,December,2021-08-23,Plumbing,Occupied
89ed7b71-97be-4abd-83ba-162a72f4ab2e,House,4799.46,0.7814973911426856,3750.7654688936736,5,315.46,6,3,5,May,2022-06-03,Plumbing,Vacant
22ff7594-8a54-40aa-a0e7-d5637d221a8b,House,2379.16,0.9693153172938865,2306.156230292923,2,195.19,8,5,1,January,2023-01-28,Other,Occupied
3d1fdf46-db36-4809-ace3-6a42c409bac8,Duplex,2629.39,0.8780061842023394,2308.620680679789,9,86.31,7,4,6,June,2024-01-17,Other,Occupied
6ad7a3f2-f6ac-407b-b07a-ed7866d3a64f,Duplex,1867.68,0.8368409210249171,1562.9510513798173,10,202.89,3,4,8,August,2021-12-03,HVAC,Occupied
d9f41880-5bf1-417d-897c-1a7cbf2ecd90,House,3123.22,0.7514762976910296,2347.0258024745776,4,222.74,7,2,5,May,2023-12-22,Other,Vacant
1886a58d-7b8f-44a1-b729-a45748dd1237,Duplex,1435.48,0.8442516168254082,1211.906310920537,4,420.64,7,3,1,January,2023-12-14,Other,Occupied
3dbd1149-e863-41d4-ac3d-83e6e1cc3a2a,Condo,4600.59,0.8887769186169094,4088.8982040197675,5,274.57,8,3,5,May,2023-12-18,Electrical,Occupied
61b26768-222d-4d49-b32d-fbe4c4a60973,Condo,4854.87,0.8439235901719315,4097.139320218005,7,115.74,1,2,10,October,2023-11-28,HVAC,Occupied
a5a09c2a-e400-4219-8612-839b4aec76af,Apartment,1067.19,0.9442513960587221,1007.6956473599076,10,71.59,4,1,5,May,2023-04-14,Electrical,Occupied
f7dd55e1-d4fa-40c1-a90e-dc43782fa4c5,Condo,1022.84,0.9396644966672885,961.1264337711693,9,174.88,0,1,12,December,2022-03-07,HVAC,Occupied
993cc3a3-1ebe-45e8-9060-68b1c153c341,Condo,3493.99,0.7863417196659207,2747.47010509553,12,369.63,2,3,1,January,2023-12-10,Structural,Vacant
e8ba45b5-c052-4d4e-a1eb-07c168886610,Duplex,2994.08,0.9656697525414168,2891.292492689205,2,138.44,7,2,9,September,2023-10-11,Electrical,Occupied
43fb5443-45b4-49b2-a478-f7c2a3dccdb5,Apartment,1514.71,0.8889419330203345,1346.489235365231,12,335.81,6,3,7,July,2021-09-09,Electrical,Occupied
aa2b01fb-0e69-4337-ad24-9bf94377e2d4,Duplex,3609.39,0.8323419874288365,3004.246846005768,1,189.69,10,4,12,December,2021-12-16,Other,Occupied
ce825b13-f6e5-4fc2-9419-6848edebec63,Condo,2389.22,0.8507525996320688,2032.6351260929314,2,258.05,5,5,6,June,2022-06-18,Electrical,Occupied
f4faa4b1-5558-46a9-937b-20217a50b7fa,Townhouse,4683.47,0.7532212673103134,3527.6892088098334,5,206.93,0,5,9,September,2023-10-25,Structural,Vacant
e336eb42-3391-4759-a452-6e73b6d24438,Apartment,2545.87,0.7238928538263569,1842.9370997709073,5,427.86,3,2,6,June,2023-10-21,HVAC,Vacant
b66ac951-dbaa-4f54-85e1-3f664760eb73,House,3689.15,0.8722248774006832,3217.7684064627306,11,474.94,1,5,2,February,2022-08-10,Structural,Occupied
105c21c9-c44c-44a3-ab07-8ce90e0fa04b,Apartment,3014.62,0.740536716001007,2232.436794790956,3,119.96,2,5,4,April,2021-07-08,Electrical,Vacant
ee65c492-d731-47f0-80a2-0f2a885da701,Townhouse,2665.62,0.7096328000455292,1891.6113844573636,1,369.77,8,2,12,December,2023-03-14,Plumbing,Vacant
72b621d0-79c8-4456-9b53-4e740ef0ac4e,House,1877.67,0.8138400462349877,1528.1230396140495,1,242.57,8,4,10,October,2022-10-06,HVAC,Occupied
af7937d6-6257-45ff-b092-032a3b1ad5d2,Townhouse,2442.46,0.9447136721680913,2307.425355723676,4,240.77,3,2,5,May,2021-12-11,HVAC,Occupied
0b01d3fa-8be7-470d-ba46-fd031df8f339,House,1426.74,0.9159662208404163,1306.8456459218555,8,201.42,4,3,11,November,2022-04-11,HVAC,Occupied
e80c64c9-ea4c-4ab2-bd14-c0099fdcc892,Apartment,3958.12,0.8468025677307742,3351.746179386532,3,90.02,8,3,4,April,2022-10-16,Other,Occupied
d55ff317-7932-4ecf-99c1-0c28e5139c69,Condo,1034.42,0.778628455336053,805.42884676872,10,126.15,7,5,10,October,2021-11-05,Electrical,Vacant
61cdc094-96a0-4a49-be96-a4809af34f87,Condo,1370.7,0.924112715605045,1266.6812992798352,2,130.82,5,2,11,November,2024-02-06,Other,Occupied
573dd80a-636c-4f88-b205-88918be54e7b,Duplex,1179.24,0.9944961170386464,1172.7496010566533,7,224.82,7,3,4,April,2023-03-25,Electrical,Occupied
8921a3fd-b220-4de1-9701-47fab6e188d9,Duplex,4174.9,0.882025246218779,3682.36720043878,10,100.41,4,5,7,July,2022-11-30,Structural,Occupied
6f180e02-6d91-4d5c-b1de-3c25a9953406,Condo,2941.08,0.8725044976097978,2566.1055278302238,11,220.88,8,5,10,October,2022-06-26,Structural,Occupied
aacbb56f-7256-4b17-b1d2-5efad33aeb31,Apartment,3446.42,0.7731271606118816,2664.520908876001,7,154.58,3,3,11,November,2023-08-17,Electrical,Vacant
176a749c-9085-45e9-b563-7e7041f9ae04,Duplex,3173.22,0.9221692681228397,2926.2459649927573,11,463.41,1,4,11,November,2024-01-24,HVAC,Occupied
3af7803e-54f8-467e-9f95-f943440933f4,House,1731.48,0.7557152807031173,1308.5058942318335,3,74.72,8,1,2,February,2023-01-22,Other,Vacant
d13f550f-cea1-416b-942e-75f830e64006,Townhouse,3671.31,0.7452000247746707,2735.8603029554965,11,467.03,3,2,4,April,2024-03-14,Plumbing,Vacant
7940730e-63b8-4056-ae63-99707d5debdb,House,1305.28,0.7996495229325536,1043.7665292934037,2,317.83,5,5,8,August,2023-09-12,Plumbing,Vacant
4fb02e67-9048-47f7-b593-f5166b8230ee,House,2449.78,0.8781987636084453,2151.3937671126973,11,420.9,8,1,10,October,2022-05-21,Electrical,Occupied
c20b73c3-c87d-4d73-8801-48c5efc4a04c,Duplex,1440.11,0.7122668945075581,1025.7426774492794,3,143.05,7,2,11,November,2021-09-26,Other,Vacant
3f40724a-312f-4b33-b81a-e513b6a4dc35,Apartment,3397.3,0.8401272167663447,2854.164193520303,8,382.7,2,3,4,April,2022-06-24,Plumbing,Occupied
aa07fc56-e490-419f-a28c-8b65ac8af3b7,Duplex,3523.24,0.9534078945369937,3359.0848303485177,4,109.14,2,2,9,September,2023-05-13,Other,Occupied
b418e2de-50b1-4043-8f0b-de37268c3cbc,Townhouse,3250.82,0.7636909350796159,2482.621765575517,3,359.0,10,5,8,August,2021-10-24,Electrical,Vacant
2731360d-aa1e-4505-9b59-ffa7551e281a,Condo,1752.23,0.8761437379150134,1535.205341886824,4,459.78,5,5,6,June,2024-05-06,Plumbing,Occupied
65889bb3-8b9a-42c5-8ec2-da5de429e589,Duplex,3714.25,0.8976811482579145,3334.212204916959,12,396.97,7,5,10,October,2023-11-19,Structural,Occupied
cf058269-748a-4886-ad1f-627fa5275172,Apartment,1601.01,0.9142441455682573,1463.7140194962356,9,483.19,2,2,2,February,2023-04-05,Structural,Occupied
574e5085-0678-4301-9a0b-41030cd1b401,Townhouse,2770.68,0.9046880839561693,2506.601180455679,8,50.35,2,3,9,September,2023-06-28,HVAC,Occupied
23fd2161-ab7c-4022-ab35-0398499274ad,Townhouse,4576.24,0.745784141291028,3412.8872187416537,6,300.89,5,1,8,August,2022-06-10,Electrical,Vacant
d79765d0-0563-4321-b3c5-332db97f25e0,Townhouse,2645.75,0.9115866235300571,2411.8303092046485,9,138.29,4,4,4,April,2023-04-15,HVAC,Occupied
0d53ceaf-dfe1-415b-8989-8bff90c5230b,Apartment,1679.06,0.7784292322435733,1307.0293866908942,5,362.22,10,3,5,May,2023-04-19,Other,Vacant
f52be220-f93a-4682-912b-5551a2387b33,Duplex,3086.6,0.8774958222109167,2708.4786048362153,2,231.77,1,1,7,July,2022-06-06,Other,Occupied
d9c4f42c-e8da-43d6-aa17-545eec52416e,Apartment,2354.37,0.7289019416297708,1716.1048643148836,7,168.81,9,2,4,April,2023-04-05,Other,Vacant
0912e387-1be5-4f53-8285-7885583500dc,House,2710.1,0.742847363727549,2013.1906404380304,2,217.83,2,2,1,January,2022-01-18,HVAC,Vacant
0dbfd63f-ad9d-4da8-89a8-b96424ff878d,Apartment,4729.86,0.9183303861996912,4343.574160470471,11,302.5,8,4,11,November,2024-01-27,HVAC,Occupied
deae8622-fd8a-4f5e-be55-068585f97e50,Townhouse,1047.44,0.7156950741466915,749.6476484642106,1,199.84,0,5,2,February,2023-03-13,Plumbing,Vacant
a1ba6a7c-425b-4c6d-bbaa-eeccde1c65a6,Apartment,3146.45,0.8735157348594761,2748.4735839485984,11,183.04,3,4,12,December,2021-06-25,Structural,Occupied
cc6c0069-63b9-42cf-9d8d-06813c08fca0,Apartment,2913.71,0.8575604641468997,2498.682499989463,12,138.82,3,1,6,June,2022-12-17,Plumbing,Occupied
707fa2a5-5956-4e19-a390-b1fc774a5eba,Condo,1282.87,0.9324082861417471,1196.158618042663,2,193.28,9,5,6,June,2023-03-22,Electrical,Occupied
615d858a-1a77-4914-98d1-ee2e9c5eb7ac,House,1748.84,0.8182293045090954,1430.9521368976864,4,400.27,6,5,8,August,2023-04-26,HVAC,Occupied
583724a4-3524-4acc-a940-ad7312da40df,Duplex,4195.18,0.951258660222682,3990.7013061929915,12,70.16,9,4,2,February,2024-05-12,Plumbing,Occupied
c400bdee-9b48-4c3d-a5aa-413e1dc17853,Apartment,4486.04,0.8898819578295223,3992.04605810155,6,392.66,4,4,7,July,2024-04-24,Structural,Occupied
07d0a673-f1e4-4063-825f-3752af665874,Townhouse,2134.52,0.7957742006868508,1698.5959468500967,8,455.49,8,1,11,November,2022-09-27,HVAC,Vacant
098ad17f-c1d8-4d67-b355-08d3c863f1b1,Townhouse,4797.0,0.9603439810729528,4606.770077206955,9,86.13,0,4,9,September,2024-05-11,HVAC,Occupied
f0dbdb64-71cc-4b99-b4dd-1d70355e431b,Condo,2596.05,0.9175953384744363,2382.1233784465608,4,495.0,0,4,7,July,2023-03-06,Other,Occupied
8119d149-956c-4626-a489-101c818fb3ed,Apartment,3067.8,0.7414956681651927,2274.7604107971783,2,229.21,6,5,5,May,2023-10-07,HVAC,Vacant
e8d7d1af-4d82-4a62-8aa4-215965886220,Apartment,1033.96,0.7123309805711207,736.5217406713159,4,428.6,4,2,3,March,2023-11-03,HVAC,Vacant
43b0e75a-9842-48e4-860f-98b88e6f25c5,Condo,4196.77,0.8428660424582577,3537.3149210075426,10,208.52,7,1,11,November,2022-04-13,Plumbing,Occupied
5d94822f-1403-4152-8ac1-d3b3bf369b64,Condo,2300.95,0.9807615456786012,2256.683278529177,9,420.0,7,1,8,August,2023-12-15,Electrical,Occupied
9b567fe6-a063-446b-8bde-cdf065138ca5,House,4995.08,0.8092866816435944,4042.4517177442854,5,127.0,6,1,9,September,2021-05-19,Electrical,Occupied
293adf5d-0a78-4d44-a349-9d9244420d60,Condo,2387.99,0.9787249037138794,2337.1852828197066,7,438.6,0,5,8,August,2021-11-30,HVAC,Occupied
672a5fa0-9e31-4227-8d09-33905fd596d9,House,2036.0,0.9447287137294429,1923.4676611531456,7,221.13,4,1,5,May,2022-02-24,Plumbing,Occupied
84295786-2c76-4923-b036-4ee618b2b439,Townhouse,1675.91,0.7914916846682701,1326.4688292524006,7,89.22,3,2,10,October,2023-01-02,Other,Vacant
3e16a914-75ed-45e2-b7f6-6959fc7917e1,Duplex,1597.47,0.9671049654444805,1544.9211691485943,3,126.16,5,1,8,August,2024-05-14,Other,Occupied
a889b5f2-25f1-44d7-964d-da8b2301b52b,Townhouse,1726.13,0.8916871108200215,1539.1678725997638,10,447.77,9,2,7,July,2022-07-13,Other,Occupied
aacfc88e-190f-4cf3-bb1d-ba137679adca,Duplex,1485.88,0.7269718225411395,1080.1928916774284,12,426.39,0,3,7,July,2022-11-28,Other,Vacant
feac5565-560a-4be9-a9e2-a2319e334a80,Duplex,4242.01,0.90965806164288,3858.7785940697136,3,225.26,9,4,11,November,2021-12-11,Plumbing,Occupied
fc5c238d-df54-4101-8600-e5ee9bb4e2ce,Duplex,4720.59,0.9045934458202932,4270.214774404818,10,436.6,1,3,10,October,2023-05-07,Other,Occupied
9dd2f8f6-8d25-4ce6-b00c-e31cc19356d7,Apartment,3511.48,0.9137919068809423,3208.762005174291,4,323.99,3,5,9,September,2023-06-19,Plumbing,Occupied
d8bd54d1-27a1-4471-9625-3ea1f67560b1,Duplex,3856.45,0.806808482153073,3111.416570999218,10,72.89,10,1,8,August,2022-09-23,HVAC,Occupied
3a8d365f-b483-430c-8af8-ccfec01c37a3,House,2342.59,0.7879292264263283,1845.7951265340525,2,73.6,2,2,12,December,2023-01-17,Plumbing,Vacant
398f5353-a4b1-4bab-b214-c2fe23368b6a,Townhouse,2647.31,0.779458105288142,2063.4672367103512,7,152.8,0,1,2,February,2022-04-27,Plumbing,Vacant
f67698c9-c221-49d3-b6ee-4af6cf2121b5,Condo,1265.75,0.977885211196174,1237.7582060715572,8,160.44,8,2,8,August,2021-07-25,Other,Occupied
7abbb96b-8aaf-4f65-ba0a-62ed6514a322,Duplex,1929.09,0.9609575681455342,1853.7736351338685,5,154.76,4,1,11,November,2023-03-23,Structural,Occupied
402c0b52-bd12-4d51-bbc4-d81e3f9447e2,Townhouse,4926.57,0.8096344804694904,3988.720942446577,8,260.38,6,4,11,November,2021-11-25,Other,Occupied
a8e35cc5-4b0b-413e-b285-458a6869c821,Condo,2994.14,0.9549541705567502,2859.266480230788,11,81.07,0,5,3,March,2023-08-04,Structural,Occupied
50aa09ab-6f8e-48c1-9613-58778a7fc6bc,Condo,4514.6,0.9569291471055381,4320.152327522663,1,300.04,3,2,1,January,2022-12-02,Plumbing,Occupied
bcf4c934-5200-46d1-a759-ce9391a05a28,House,1991.43,0.9311089309107845,1854.2382582836638,4,289.62,1,3,3,March,2022-10-04,Other,Occupied
176f11a0-cfb2-4a81-a3ec-3138bf33a1fb,House,4566.12,0.8249535986849624,3766.8371260273807,5,431.9,6,4,1,January,2023-08-18,Plumbing,Occupied
77d345f6-e7cf-407a-abc7-1e975698725d,House,4112.7,0.9403992914757848,3867.5801660524603,8,249.65,5,2,7,July,2023-05-20,Structural,Occupied
f268d54f-5492-4656-9721-949935290e1d,Townhouse,3350.74,0.9321622209405991,3123.4332401945026,5,332.6,10,1,7,July,2023-03-17,Electrical,Occupied
4b25b617-5c5a-4490-8124-a0e0868d742a,Apartment,2677.7,0.7103225819552363,1902.0307777015362,3,72.98,5,1,9,September,2022-11-14,Other,Vacant
b55ae904-159c-4060-973c-d1ca71dae6f0,Townhouse,2715.52,0.986707530331755,2679.424032766487,5,76.26,2,4,3,March,2021-09-21,Other,Occupied
94b16d41-192d-4812-8522-c15e3a05d5de,Townhouse,3697.02,0.8085411568007802,2989.1928275156206,2,431.16,1,1,6,June,2023-03-11,HVAC,Occupied
458b6169-1b48-45de-95a0-db806a6646f4,Duplex,1439.91,0.7155673564939294,1030.352592289174,3,59.74,3,1,4,April,2021-10-25,Other,Vacant
1a350f21-6039-41ad-9aa1-33572affe440,Duplex,4540.05,0.9449562710585797,4290.148718419505,2,351.79,4,1,12,December,2021-06-12,Structural,Occupied
4de660fe-89b2-42e0-80a8-89276a884c39,Condo,1068.48,0.9284920246601995,992.07515850893,9,379.49,7,4,8,August,2023-08-18,Structural,Occupied
ecf43eb0-c164-45ea-ae20-8dbc5c7262f2,Duplex,2223.01,0.9029609556228245,2007.2912339590953,3,229.88,0,2,2,February,2024-02-06,Structural,Occupied
bb053941-253f-4c6b-8e9c-8bcfa36dc0b0,Condo,3214.4,0.82306003287879,2645.6441696855827,3,175.06,2,3,4,April,2023-09-05,Electrical,Occupied
5a20a34c-76d9-4a14-9627-fc7fdb8c5b89,House,4718.69,0.7360868390030195,3473.3656063351577,9,226.68,2,3,11,November,2021-07-31,Structural,Vacant
4194fdda-8748-4dcf-85aa-8832751c6783,Apartment,2345.64,0.7124406051212752,1671.1291809966679,11,477.98,3,5,11,November,2022-10-04,Structural,Vacant
580bf526-bfee-43c4-a0ae-6246e5215ba2,Apartment,3832.11,0.9339346074020571,3578.9401483714973,10,206.11,0,5,10,October,2023-12-24,Plumbing,Occupied
c4d7beb7-1d8a-488d-ad73-9d39e214a94e,Condo,2737.96,0.9167603661008056,2510.0532119693617,2,158.12,10,3,10,October,2023-08-15,HVAC,Occupied
df86aa44-000f-478b-b943-87f9156e43db,House,4500.41,0.9971344548392629,4487.513871903167,9,117.53,5,1,12,December,2023-09-09,Structural,Occupied
b7ce322f-b6a5-4ad9-ade6-5da0e67e4438,Apartment,2947.7,0.875787474981259,2581.558740002257,4,384.88,1,4,2,February,2022-09-21,Other,Occupied
64005b36-55cd-4ec4-ab54-161e48c18330,House,1603.94,0.8666924378552736,1390.1226687735875,12,223.3,3,1,4,April,2021-12-23,Other,Occupied
b22ccdd3-d579-47c7-b283-44fe0fb82924,Duplex,3912.93,0.9203675043682025,3601.3336188674702,10,200.97,8,4,8,August,2022-11-30,Electrical,Occupied
9b396ba8-6b7e-4e49-b06e-9f9aa54efbce,House,3174.99,0.9467486021138434,3005.9173442254314,9,380.69,9,1,9,September,2021-07-13,Other,Occupied
f99d26cf-69d8-4063-8a28-8f710286410d,Apartment,4869.36,0.9427872726282724,4590.770633845204,7,431.96,9,5,1,January,2024-02-09,HVAC,Occupied
e80af6e9-da49-4a0a-a497-4de0589f4c8e,House,2779.96,0.7755357866563128,2155.9584654730834,7,499.39,8,3,7,July,2023-04-29,Structural,Vacant
99e21d60-d574-4da6-a4de-0c85d8c06e76,Condo,2916.25,0.8072044548947265,2354.0099915867463,4,101.59,6,2,6,June,2023-10-09,HVAC,Occupied
5f83f721-f748-4e1c-915f-5380d2ffab60,House,4107.66,0.9912512765835428,4071.7232187711556,12,112.05,4,5,10,October,2021-10-16,HVAC,Occupied
83fc80e3-4bb3-4656-9e2c-52b0e2d670df,Townhouse,4169.17,0.7072490201089594,2948.64139716767,8,268.48,0,1,7,July,2022-11-01,HVAC,Vacant
b2de4cbe-9639-4a8c-be57-20785365b1da,Duplex,1908.6,0.8891611545373252,1697.052979549939,10,361.05,8,1,1,January,2023-05-29,Electrical,Occupied
3450d6ef-0897-4328-86a7-4697ff570236,Condo,4006.0,0.9810371013353831,3930.0346279495448,3,276.26,0,3,4,April,2021-12-31,Structural,Occupied
f079eb5d-c173-4ca3-a035-42db9c7c3f40,Apartment,1961.48,0.7217070891172581,1415.6140211617194,11,69.26,9,2,10,October,2022-11-20,Structural,Vacant
3a14edf5-6fce-4836-bc20-64bf1426374a,Condo,1802.63,0.8849394159918729,1595.2183394494298,6,145.64,7,4,6,June,2024-03-03,Electrical,Occupied
79cee657-9a09-4041-b98d-414655c5af14,House,4433.12,0.9024368829173426,4000.61099439853,3,61.17,2,4,9,September,2021-08-27,Structural,Occupied
62408082-539d-4273-a48f-87e01a39dc31,Duplex,3783.44,0.9950665039131944,3764.774413565336,3,155.79,1,4,5,May,2023-04-27,HVAC,Occupied
32ae719a-1f7f-4fe0-bcad-16cc922fddae,House,4775.43,0.736851455217553,3518.7825447895593,4,314.24,2,5,5,May,2024-03-30,Other,Vacant
35abd9db-46b0-4c1e-a6d4-c0329cc952e8,Apartment,2995.2,0.889682270266259,2664.776335901499,8,51.37,1,3,10,October,2024-05-14,Structural,Occupied
62e7f9cd-3753-4c1b-8cae-eeb33704b62c,Duplex,4648.48,0.9677731991147787,4498.674360621066,8,276.64,1,2,11,November,2021-06-26,Electrical,Occupied
4e42cf81-d56b-4cdc-9482-c0c1452a017f,Condo,4729.47,0.7551595652831914,3571.504509219895,12,308.0,6,1,5,May,2021-09-12,Plumbing,Vacant
558c3834-8034-4877-a0df-4e5c327f2294,Apartment,2699.69,0.9367197049126659,2528.852820155675,12,169.61,2,2,7,July,2023-12-27,Other,Occupied
de01e52a-d729-418d-aa50-c04d1c436e0a,Duplex,1828.12,0.7493547602453517,1369.9104242997323,7,322.92,4,3,5,May,2022-08-22,Structural,Vacant
7a687fa0-1143-4387-8cdf-8f19ed487e05,Apartment,1254.09,0.9556060510231377,1198.4159925276067,5,272.74,7,4,12,December,2022-04-29,Electrical,Occupied
4fcc648f-4793-4d37-9b0c-1da4e96ba62b,Apartment,3357.39,0.7168417335896685,2406.717267936617,9,180.66,1,1,4,April,2024-03-14,Other,Vacant
308e36cd-16df-468c-a217-0ec93596ac90,Apartment,1185.64,0.9699518477315291,1150.0137087444102,12,353.68,6,3,12,December,2022-09-21,Structural,Occupied
3d43d924-62f9-4d9d-9d51-f37f60803577,House,1962.7,0.8845449805269101,1736.0964332801666,9,181.21,2,1,8,August,2021-12-23,HVAC,Occupied
dce8c80a-9f4e-4225-9ea8-33f837ee8e0b,Townhouse,2933.19,0.7968269993325924,2337.2449861723667,12,478.67,0,3,10,October,2022-06-28,Other,Vacant
c236fdbb-7837-4dc7-8006-62000ab841ba,Apartment,3943.25,0.8050608127681165,3174.556049947875,1,195.5,7,3,12,December,2022-07-25,Plumbing,Occupied
63c9baf3-6918-4cf4-9fcb-5ea92ac9099f,House,4738.34,0.7333013637309375,3474.6311838208503,6,177.85,7,3,2,February,2022-09-14,Plumbing,Vacant
7fe1480e-42dc-455a-9197-5a9a9ebbea8d,Condo,1802.92,0.7200250438207545,1298.1475520053148,6,476.48,2,5,6,June,2023-01-27,Plumbing,Vacant
399041fb-c634-4abd-b497-e9230e984ca1,Townhouse,4882.4,0.8019659712928825,3915.5186582403694,6,257.99,6,1,12,December,2022-06-10,Structural,Occupied
aeb9d7f5-0072-4277-9d33-6806d5fc335b,Apartment,1837.14,0.8564776932654143,1573.4694294056235,12,84.27,4,1,6,June,2023-05-12,Other,Occupied
f71137a7-725a-4d8c-bebe-8dcaa9699658,Townhouse,4722.97,0.9642392590883146,4554.073093496338,3,426.37,4,3,7,July,2022-10-09,Other,Occupied
8900c42c-fbeb-48d6-a834-d782f9b85642,Condo,1720.49,0.8544082364539917,1470.0008267367282,9,85.55,0,3,7,July,2023-04-09,HVAC,Occupied
0a5e29a4-a646-4586-a02d-66d736e53ef1,Condo,4308.21,0.9794775427212148,4219.7949443269645,2,226.5,9,3,1,January,2024-02-20,Structural,Occupied
ba9c9168-a967-414c-9fd0-f563ade6c695,Apartment,1783.24,0.9425888058977625,1680.862062229126,9,248.33,0,3,11,November,2023-12-28,Plumbing,Occupied
1b70b36f-3f8f-4e2a-a5c1-a897062d06c1,Condo,4189.6,0.9887622721190217,4142.518415269854,1,102.85,0,2,3,March,2023-01-31,Other,Occupied
9b7ddf76-33f7-47fd-9f12-3b12c6e804ac,Duplex,4772.34,0.8535619535273984,4073.4878532969446,10,411.57,1,5,11,November,2022-07-02,Other,Occupied
db25cd6f-7129-43ea-bfa3-3590502a7f13,Apartment,2155.96,0.752968498656447,1623.3699643633536,12,418.96,5,3,4,April,2023-07-18,Electrical,Vacant
e537f1ee-4402-4c2b-80f8-135457c5425b,Duplex,4241.6,0.7260729825460366,3079.711162767269,4,230.22,4,5,2,February,2021-05-28,Electrical,Vacant
ac789a1f-86de-443b-81de-1097928ea46b,Apartment,1883.18,0.9580592356608972,1804.1979914118886,7,364.71,6,5,8,August,2024-04-08,Electrical,Occupied
516aa5cb-d180-4feb-916c-1e8893fb4699,Apartment,3669.99,0.8312847688935987,3050.806788991818,11,329.7,8,4,8,August,2021-07-26,Plumbing,Occupied
54c5e6c3-5e48-4f17-bec3-a78896a3c758,Duplex,3842.23,0.9397660288202812,3610.797228914149,10,475.13,8,1,9,September,2023-06-10,Electrical,Occupied
1b992bfe-5776-4355-beb0-8ba0732fbd1c,Apartment,4543.99,0.9016790457174796,4097.22056694977,9,483.63,2,4,11,November,2022-08-02,Structural,Occupied
6b8c9453-ad34-4a2f-a6a3-563def7bdfd7,Townhouse,2848.52,0.8529091476350127,2429.5287652212864,7,208.95,4,5,10,October,2023-04-30,Plumbing,Occupied
b35162dc-20ee-4d46-a6a0-727e4d49f029,Duplex,2437.34,0.8733073202002445,2128.546863816864,7,355.02,10,4,10,October,2023-10-29,Other,Occupied
5265caa7-b39c-4a08-84b5-88eb7b7c5665,Townhouse,3058.28,0.7850662100207763,2400.9522887823396,9,281.48,4,5,6,June,2023-07-09,Structural,Vacant
5242da55-3b5f-4a34-afde-c9dc6a634bd9,House,3821.81,0.7160782892205197,2736.7151665258743,2,395.12,9,2,10,October,2023-03-25,Structural,Vacant
